Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed,Mean Rebuild Frequency
2025-05-02 16:15:31,2,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,53185563426,51852382759,51450866869,51465322673,51465322673,120
2025-05-02 16:17:04,5,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,32129514669,22355217314,22501612352,22436669791,22436669791,120
2025-05-02 16:18:16,8,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,20147090477,18361048669,18911430756,18375932350,18375932350,120
2025-05-02 16:20:20,11,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,35486597608,35135480854,34508567708,34516717957,34516717957,120
2025-05-02 16:21:55,14,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,27403863761,26315711595,26789671908,26324779529,26324779529,120
2025-05-02 16:23:15,17,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,23919870995,20842263292,20573537063,20601423179,20601423179,120
2025-05-02 16:24:12,20,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,14885820030,14200524748,14256750394,14206235542,14206235542,120
2025-05-02 16:26:18,23,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,36436284677,35648215004,35934261671,35654782251,35654782251,120
2025-05-02 16:27:58,26,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,29119139185,27880158264,27692414051,27704303427,27704303427,120
2025-05-02 16:29:16,29,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,22801927115,20838354692,20830757835,20847184245,20847184245,120
2025-05-02 16:30:19,32,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,15549113206,14490659746,14800687967,14499480191,14499480191,120
2025-05-02 16:31:37,35,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,21816847675,21017656824,20712513667,20721716450,20721716450,120
2025-05-02 16:32:38,38,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,16611325808,15071795133,15165630474,15084624555,15084624555,120
2025-05-02 16:34:54,41,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,40583978911,38951903380,38746791636,38762101529,38762101529,120
2025-05-02 16:36:42,44,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,31701430690,30714766846,31299181539,30722989044,30722989044,120
2025-05-02 16:38:07,47,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,25201280224,22641748812,22398655683,22422010887,22422010887,120
2025-05-02 16:39:10,50,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,17009782544,15935964374,15946793219,15944912858,15944912858,120
2025-05-02 16:41:35,53,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,42648816949,41899923257,42724265743,41906164037,41906164037,120
2025-05-02 16:43:32,56,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,35108423656,33867345282,33647376008,33659551405,33659551405,120
2025-05-02 16:45:12,59,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,29910190755,27767102337,27375361582,27396485158,27396485158,120
2025-05-02 16:46:28,62,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,19996776538,18575044679,18622156892,18586892444,18586892444,120
2025-05-02 16:48:34,65,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,38138409925,36982561635,36729332690,36741075000,36741075000,120
2025-05-02 16:50:14,68,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,29205036188,28296879223,28309873247,28304447197,28304447197,120
2025-05-02 16:51:35,71,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,22317494559,20066743088,20067091119,20085499350,20085499350,120
2025-05-02 16:52:28,74,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,13444136821,12189245606,12165583000,12176237615,12176237615,120
2025-05-02 16:54:35,77,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,38377734868,37429529428,37500549246,37437431140,37437431140,120
2025-05-02 16:56:19,80,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,29891011808,29395111180,29318561445,29323331864,29323331864,120
2025-05-02 16:57:39,83,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,22486118249,19812670465,20014933967,19834949196,19834949196,120
2025-05-02 16:58:32,86,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,13301951128,12644004131,12651380018,12649487022,12649487022,120
