Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed,Mean Rebuild Frequency
2025-04-25 19:37:10,2,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6165140573,6354463185,6298647492,6297312422,6297312422,100
2025-04-25 19:37:20,5,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3325020563,2225769259,2272855256,2236761772,2236761772,100
2025-04-25 19:37:27,8,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2022904048,1886751514,1871465909,1872980290,1872980290,100
2025-04-25 19:37:42,11,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,4423930502,4153416738,4188930741,4156121875,4156121875,100
2025-04-25 19:37:54,14,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,3437030074,3262599991,3175305478,3177922723,3177922723,100
2025-04-25 19:38:03,17,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2616446092,2314034840,2377316797,2317058952,2317058952,100
2025-04-25 19:38:10,20,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1798116590,1676665230,1653341506,1654789256,1654789256,100
2025-04-25 19:38:26,23,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4628223023,4353772907,4367794762,4356517408,4356517408,100
2025-04-25 19:38:38,26,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3531601828,3406920944,3414549865,3408167752,3408167752,100
2025-04-25 19:38:47,29,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2588085248,2348605864,2335237660,2337766135,2337766135,100
2025-04-25 19:38:55,32,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1844049926,1734298222,1711038259,1712368375,1712368375,100
2025-04-25 19:39:03,35,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,2219358255,2081129496,2079692604,2081089260,2081089260,100
2025-04-25 19:39:10,38,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,1822007475,1685687550,1680040363,1681460034,1681460034,100
2025-04-25 19:39:27,41,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,4962044772,4840823141,4869284999,4842035357,4842035357,100
2025-04-25 19:39:41,44,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4043857372,3943610839,3942786089,3943796801,3943796801,100
2025-04-25 19:39:50,47,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2823477129,2501839770,2503652816,2505056143,2505056143,100
2025-04-25 19:39:58,50,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2074260864,1963269114,1980391170,1964379031,1964379031,100
2025-04-25 19:40:16,53,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5433802031,5306810501,5347081026,5308080416,5308080416,100
2025-04-25 19:40:32,56,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,4557330624,4431996362,4440174938,4433249704,4433249704,100
2025-04-25 19:40:44,59,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,3622596856,3355326195,3333418314,3336310099,3336310099,100
2025-04-25 19:40:54,62,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,2592620479,2469377617,2505502215,2470610045,2470610045,100
2025-04-25 19:41:09,65,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,4461849499,4331990973,4309564217,4311087069,4311087069,100
2025-04-25 19:41:21,68,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3500474756,3395695093,3402923628,3396742889,3396742889,100
2025-04-25 19:41:30,71,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2382709810,2084876540,2051146451,2054462084,2054462084,100
2025-04-25 19:41:35,74,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1423800879,1291429786,1298053903,1292753496,1292753496,100
2025-04-25 19:41:50,77,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,4529372187,4400849764,4417672920,4402134988,4402134988,100
2025-04-25 19:42:03,80,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,3516296235,3387528573,3389544706,3388816249,3388816249,100
2025-04-25 19:42:11,83,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2448787144,2118189320,2060556629,2064438934,2064438934,100
2025-04-25 19:42:17,86,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1426183527,1348677799,1297730195,1299014728,1299014728,100
2025-04-25 19:42:34,89,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,4659330126,4491613019,4562642183,4493290190,4493290190,100
2025-04-25 19:42:47,92,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,3617334865,3442790606,3442718757,3444464918,3444464918,100
2025-04-25 19:42:56,95,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,2728225166,2102576417,2104323154,2108832904,2108832904,100
2025-04-25 19:43:02,98,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,1490959460,1366876373,1316900846,1318641432,1318641432,100
2025-04-25 19:43:19,101,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,4843953068,4751107625,4766448232,4752036079,4752036079,100
2025-04-25 19:43:32,104,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,3699292072,3573964763,3579161949,3575218036,3575218036,100
2025-04-25 19:43:41,107,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,2837773594,2207304882,2164387942,2171121798,2171121798,100
2025-04-25 19:43:47,110,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,1490622504,1354608791,1392542958,1355968928,1355968928,100
2025-04-25 19:45:38,113,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,54067859607,24107477027,24064408764,24364443272,24364443272,100
2025-04-25 19:47:16,116,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,50282211267,20154274725,20404616107,20455554090,20455554090,100
2025-04-25 19:49:05,119,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,53815058055,23858549420,23826406173,24126292691,24126292691,100
2025-04-25 19:50:22,122,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,28330761203,20812910437,20865437374,20888088944,20888088944,100
2025-04-25 19:52:01,125,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,50456728790,20479729455,20603040132,20779499448,20779499448,100
2025-04-25 19:53:13,128,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,26624367102,19190810494,19305475125,19265146060,19265146060,100
2025-04-25 19:55:03,131,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,53975519034,24319679442,24365252139,24616237837,24616237837,100
2025-04-25 19:56:21,134,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,28426918645,21092560839,21096250686,21165904417,21165904417,100
2025-04-25 19:57:57,137,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,49504752563,19669747492,19754540731,19968097542,19968097542,100
2025-04-25 19:59:08,140,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,26272650680,18845755645,19120741046,18920024595,18920024595,100
