Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed,Mean Rebuild Frequency
2025-05-01 11:32:48,2,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6581398212,6157209243,5998633176,6003489551,6003489551,120
2025-05-01 11:32:58,5,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3116827186,2271039021,2333365236,2278087255,2278087255,120
2025-05-01 11:33:05,8,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1999435044,1820869382,1764106694,1766067763,1766067763,120
2025-05-01 11:33:21,11,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,4289994425,4176957776,4371484016,4177899748,4177899748,120
2025-05-01 11:33:32,14,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,3300742914,3171674434,3193779989,3172750004,3172750004,120
2025-05-01 11:33:41,17,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2699296999,2312596014,2325633403,2315818522,2315818522,120
2025-05-01 11:33:48,20,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1765777137,1630841174,1632028590,1631965640,1631965640,120
2025-05-01 11:34:04,23,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4492550178,4382850885,4463577023,4383765045,4383765045,120
2025-05-01 11:34:16,26,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3635951100,3485132027,3412105297,3413970678,3413970678,120
2025-05-01 11:34:25,29,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2646870560,2314836233,2362178263,2317603185,2317603185,120
2025-05-01 11:34:33,32,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1913330103,1779070351,1726427466,1727984987,1727984987,120
2025-05-01 11:34:41,35,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,2274353630,2115139127,2141010492,2116465914,2116465914,120
2025-05-01 11:34:48,38,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,1868723307,1732341278,1681913804,1683470549,1683470549,120
2025-05-01 11:35:05,41,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,4981802215,4815499725,4811176176,4812598059,4812598059,120
2025-05-01 11:35:19,44,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,3985943968,3864295904,3871494494,3865309637,3865309637,120
2025-05-01 11:35:28,47,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2811903955,2524988542,2552734968,2527379503,2527379503,120
2025-05-01 11:35:36,50,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2107512376,1939795695,1931293553,1932762043,1932762043,120
2025-05-01 11:35:55,53,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5604547099,5625205660,5642841746,5625033505,5625033505,120
2025-05-01 11:36:12,56,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,4851858575,4702910823,4735792491,4704152054,4704152054,120
2025-05-01 11:36:25,59,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,3871078828,3518271357,3546712277,3521211419,3521211419,120
2025-05-01 11:36:36,62,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,2859062239,2729182470,2709335065,2710582791,2710582791,120
2025-05-01 11:36:51,65,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,4599351125,4452692399,4460558681,4453914555,4453914555,120
2025-05-01 11:37:04,68,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3615781858,3463297208,3478112049,3464567913,3464567913,120
2025-05-01 11:37:13,71,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2472904580,2217056309,2221311069,2219188377,2219188377,120
2025-05-01 11:37:20,74,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1554395824,1412234688,1284928434,1287173995,1287173995,120
2025-05-01 11:37:35,77,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,4626972498,4495311676,4470975485,4472275460,4472275460,120
2025-05-01 11:37:47,80,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,3509862234,3384034227,3386883945,3385082793,3385082793,120
2025-05-01 11:37:56,83,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2286886550,2125151907,2125168019,2126499695,2126499695,120
2025-05-01 11:38:02,86,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1428581415,1339617009,1291339263,1292482947,1292482947,120
2025-05-01 11:38:18,89,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,4609844913,4484406978,4499240569,4485452294,4485452294,120
2025-05-01 11:38:31,92,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,3577179044,3446127538,3500783323,3447219633,3447219633,120
2025-05-01 11:38:40,95,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,2735401199,2131135630,2106965806,2112202767,2112202767,120
2025-05-01 11:38:46,98,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,1453603887,1319672672,1319816047,1320788765,1320788765,120
2025-05-01 11:39:03,101,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,4713506790,4623551115,4619116816,4619903399,4619903399,120
2025-05-01 11:39:16,104,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,3701473106,3592810973,3595227087,3593716490,3593716490,120
2025-05-01 11:39:25,107,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,3091873607,2181061743,2181362067,2188651841,2188651841,120
2025-05-01 11:39:31,110,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,1508468252,1372031407,1369216167,1370376601,1370376601,120
2025-05-01 11:41:23,113,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,54120006047,24144228707,24132085430,24381984768,24381984768,120
2025-05-01 11:43:01,116,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,50289837956,20207313139,20457897086,20458000845,20458000845,120
2025-05-01 11:44:50,119,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,53838383026,23931073530,23935916233,24180301109,24180301109,120
2025-05-01 11:46:07,122,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,28322391973,20847727545,20900922741,20910016415,20910016415,120
2025-05-01 11:47:46,125,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,50465656140,20510894364,20652945033,20760517378,20760517378,120
2025-05-01 11:48:58,128,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,26665576399,19238693165,19367228530,19300583858,19300583858,120
2025-05-01 11:50:48,131,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,54043730897,24383497340,24444860311,24630665952,24630665952,120
2025-05-01 11:52:06,134,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,28434201717,21159646578,21167856320,21220267870,21220267870,120
2025-05-01 11:53:42,137,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,49545267122,19758718423,19785201640,20006939662,20006939662,120
2025-05-01 11:54:54,140,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,26295184474,18894870604,19168629617,18956539886,18956539886,120
2025-05-01 11:56:44,143,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,54209055114,24492701402,24568528931,24740337682,24740337682,120
2025-05-01 11:58:02,146,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,28558280377,21289340754,21355668235,21349915250,21349915250,120
