Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed,Mean Rebuild Frequency
2025-06-12 14:22:54,2,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,37378497,33034683,33450561,33070881,33070881,120
2025-06-12 14:22:54,5,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,76030031,72897516,72826882,72853574,72853574,120
2025-06-12 14:22:55,8,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,85584159,83242987,82893055,82915480,82915480,120
2025-06-12 14:22:55,11,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,33522049,37265068,53977814,37233876,37233876,120
2025-06-12 14:22:55,14,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,45206632,32538540,31902429,32013297,32013297,120
2025-06-12 14:22:55,17,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,90124598,85995786,86707100,86030192,86030192,120
2025-06-12 14:22:56,20,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,88148606,82548475,82430047,82477701,82477701,120
2025-06-12 14:22:56,23,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,36714557,34539102,34925797,34557230,34557230,120
2025-06-12 14:22:56,26,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,34266117,32119767,32646739,32137653,32137653,120
2025-06-12 14:22:57,29,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,93892264,91580687,91511111,91530953,91530953,120
2025-06-12 14:22:57,32,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,91554716,89572830,89093316,89113827,89113827,120
2025-06-12 14:22:57,35,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,111763554,111210188,111774702,111214799,111214799,120
2025-06-12 14:22:58,38,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,104102109,103511361,103513501,103516283,103516283,120
2025-06-12 14:22:58,41,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,42972129,40038609,40070389,40063055,40063055,120
2025-06-12 14:22:58,44,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,39599683,37348746,37559357,37367503,37367503,120
2025-06-12 14:22:59,47,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,93388411,90256526,90395586,90282625,90282625,120
2025-06-12 14:22:59,50,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,90893321,88878449,90239282,88895239,88895239,120
2025-06-12 14:22:59,53,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,26099782,23912640,23889758,23908174,23908174,120
2025-06-12 14:22:59,56,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,23744251,21517430,21488806,21507601,21507601,120
2025-06-12 14:23:00,59,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,66945990,69420296,65686356,65696852,65696852,120
2025-06-12 14:23:00,62,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,64405381,62147607,61907234,61928051,61928051,120
2025-06-12 14:23:00,65,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,31083197,29601311,28781207,28800390,28800390,120
