Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed,Mean Rebuild Frequency
2025-07-15 20:40:01,2,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,35928667,31116375,31837500,31156477,31156477,120
2025-07-15 20:40:01,5,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,15217542,15426667,15005916,15007679,15007679,120
2025-07-15 20:40:01,8,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,15110791,15279167,15284792,15277763,15277763,120
2025-07-15 20:40:01,11,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,74542500,84779709,79469875,79428813,79428813,120
2025-07-15 20:40:01,14,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,43200792,42070125,45302083,42079547,42079547,120
2025-07-15 20:40:01,17,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,44008833,44474000,43819583,43821160,43821160,120
2025-07-15 20:40:01,20,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,26630500,26921334,26602458,26602691,26602691,120
2025-07-15 20:40:02,23,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,40814333,39557750,39048042,39062761,39062761,120
2025-07-15 20:40:02,26,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,24323250,23534208,23715541,23540783,23540783,120
2025-07-15 20:40:02,29,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,22728750,21229416,21379625,21241910,21241910,120
2025-07-15 20:40:02,32,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,13673250,13323792,13064459,13069532,13069532,120
2025-07-15 20:40:02,35,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,27087292,26667042,26998708,26670544,26670544,120
2025-07-15 20:40:02,38,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,16244792,15998375,16837375,16000428,16000428,120
2025-07-15 20:40:02,41,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,30907042,30642792,30900625,30644994,30644994,120
2025-07-15 20:40:02,44,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,19998791,22032666,19778750,19780583,19780583,120
2025-07-15 20:40:02,47,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,18542875,18446666,19167709,18447467,18447467,120
2025-07-15 20:40:02,50,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,11888792,11829792,12169708,11830283,11830283,120
2025-07-15 20:40:02,53,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,46630583,47300625,46154625,46158591,46158591,120
2025-07-15 20:40:02,56,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,28428500,28163417,28217083,28165626,28165626,120
2025-07-15 20:40:02,59,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,28045333,27615916,27604209,27607885,27607885,120
2025-07-15 20:40:03,62,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,17411709,17093375,17290083,17096027,17096027,120
2025-07-15 20:40:03,65,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,97896500,96543792,100419417,96555064,96555064,120
2025-07-15 20:40:03,68,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,53955875,55741750,56811291,55726867,55726867,120
2025-07-15 20:40:03,71,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,48961834,46637500,49482500,46656869,46656869,120
2025-07-15 20:40:03,74,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,27920000,27750292,30640166,27751706,27751706,120
2025-07-15 20:40:04,77,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,88100084,86725542,86973708,86736996,86736996,120
2025-07-15 20:40:04,80,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,49057583,49044667,48818667,48820657,48820657,120
2025-07-15 20:40:04,83,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,45825166,45457833,45699458,45460894,45460894,120
2025-07-15 20:40:04,86,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,27641042,27467917,27505209,27469359,27469359,120
2025-07-15 20:40:04,89,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,84083583,84890416,84708541,84703333,84703333,120
2025-07-15 20:40:04,92,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,48222291,48158291,48559459,48158824,48158824,120
2025-07-15 20:40:04,95,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,46424084,46139166,46168750,46141540,46141540,120
2025-07-15 20:40:05,98,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,27940875,27752375,27733542,27735269,27735269,120
2025-07-15 20:40:05,101,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,86969042,95233750,88084042,88074750,88074750,120
2025-07-15 20:40:05,104,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,51474667,52083000,52997042,52077930,52077930,120
