Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed,Mean Rebuild Frequency
2025-05-04 13:07:52,2,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6609635526,6081618008,6004369853,6009413733,6009413733,120
2025-05-04 13:08:02,5,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3171897828,2302624478,2329252282,2309868422,2309868422,120
2025-05-04 13:08:09,8,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2007071599,1791451035,1757545912,1759625292,1759625292,120
2025-05-04 13:08:25,11,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,4358426329,4396204145,4237423663,4238432018,4238432018,120
2025-05-04 13:08:36,14,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,3314659177,3199241746,3260997107,3200203557,3200203557,120
2025-05-04 13:08:45,17,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2692918372,2259693849,2260604612,2263304053,2263304053,120
2025-05-04 13:08:52,20,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1808803632,1679365213,1683499320,1680443866,1680443866,120
2025-05-04 13:09:08,23,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4595880189,4541525441,4530716699,4531259728,4531259728,120
2025-05-04 13:09:21,26,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3542970211,3411198632,3418182741,3412296728,3412296728,120
2025-05-04 13:09:30,29,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2511418468,2306259746,2355192869,2307969402,2307969402,120
2025-05-04 13:09:37,32,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1907965269,1773456288,1773689499,1774577196,1774577196,120
2025-05-04 13:09:46,35,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,2289376007,2160337784,2162003775,2161413102,2161413102,120
2025-05-04 13:09:53,38,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,1880641058,1696095942,1690292215,1691878455,1691878455,120
2025-05-04 13:10:10,41,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5025280779,4858576714,4879306307,4859965914,4859965914,120
2025-05-04 13:10:23,44,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,3997262138,3874246560,3900391103,3875271689,3875271689,120
2025-05-04 13:10:33,47,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2887601894,2541325014,2541668459,2544210654,2544210654,120
2025-05-04 13:10:41,50,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2042929543,1943343853,1944360141,1944173733,1944173733,120
2025-05-04 13:10:59,53,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5444545112,5308087330,5348968925,5309224478,5309224478,120
2025-05-04 13:11:14,56,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,4521482202,4386354546,4411265039,4387480609,4387480609,120
