Iteration, Maximum_Velocity
0,0
1,0.0703624
2,0.210966
3,0.350931
4,0.489612
5,0.626523
6,0.761207
7,0.89324
8,1.02224
9,1.14786
10,1.2698
11,1.38782
12,1.50171
13,1.61132
14,1.71651
15,1.81723
16,1.91343
17,2.00511
18,2.09229
19,2.17503
20,2.25339
21,2.32746
22,2.39736
23,2.46318
24,2.53439
25,2.61006
26,2.68306
27,2.75348
28,2.82137
29,2.8868
30,2.94984
31,3.01058
32,3.06908
33,3.12542
34,3.17968
35,3.23193
36,3.28226
37,3.33073
38,3.37741
39,3.42239
40,3.46573
41,3.5075
42,3.54777
43,3.5866
44,3.62407
45,3.66023
46,3.69514
47,3.72908
48,3.76203
49,3.79392
50,3.82479
51,3.85493
52,3.8844
53,3.91298
54,3.94071
55,3.96763
56,3.99375
57,4.0191
58,4.04368
59,4.06749
60,4.09054
61,4.11279
62,4.13438
63,4.15525
64,4.17518
65,4.19409
66,4.21188
67,4.22842
68,4.24364
69,4.25737
70,4.26963
71,4.28033
72,4.28909
73,4.29577
74,4.29984
75,4.30065
76,4.29761
77,4.29023
78,4.27795
79,4.26019
80,4.2363
81,4.20562
82,4.16744
83,4.12105
84,4.06591
85,4.00131
86,3.96341
87,3.96645
88,3.96515
89,3.95896
90,3.94735
91,3.92977
92,3.90563
93,3.89287
94,3.90043
95,3.90685
96,3.91219
97,3.91661
98,3.92023
99,3.92318
100,3.92555
101,3.92766
102,3.92959
103,3.93117
104,3.93247
105,3.93353
106,3.93438
107,3.93506
108,3.93559
109,3.93597
110,3.93621
111,3.93631
112,3.93628
113,3.9361
114,3.93603
115,3.93605
116,3.93588
117,3.93552
118,3.93494
119,3.93415
120,3.93312
121,3.93185
122,3.93032
123,3.92853
124,3.92671
125,3.92486
126,3.92273
127,3.92032
128,3.91761
129,3.91462
130,3.91134
131,3.90778
132,3.90394
133,3.89982
134,3.89543
135,3.89077
136,3.88586
137,3.94489
138,4.02793
139,4.09423
140,4.1753
141,4.31084
142,4.43587
143,4.54967
144,4.65156
145,4.7411
146,4.81817
147,4.88273
148,4.93485
149,4.97487
150,5.00336
151,5.0209
152,5.0281
153,5.0257
