Iteration, Maximum_Velocity
0,0
1,0.00382469
2,0.0114741
3,0.0191234
4,0.0267727
5,0.034422
6,0.0420711
7,0.0497202
8,0.0573691
9,0.065018
10,0.0726667
11,0.0803152
12,0.0879635
13,0.0956116
14,0.10326
15,0.110907
16,0.118555
17,0.126202
18,0.133849
19,0.141495
20,0.149141
21,0.156787
22,0.164433
23,0.172078
24,0.179723
25,0.187367
26,0.195011
27,0.202655
28,0.210298
29,0.21794
30,0.225582
31,0.233224
32,0.240865
33,0.248505
34,0.256145
35,0.263786
36,0.271426
37,0.279067
38,0.286707
39,0.294346
40,0.301985
41,0.309623
42,0.317261
43,0.324899
44,0.332536
45,0.340172
46,0.347808
47,0.355443
48,0.363077
49,0.370711
50,0.378345
51,0.385978
52,0.39361
53,0.401241
54,0.408872
55,0.416502
56,0.424132
57,0.431761
58,0.439389
59,0.447016
60,0.454643
61,0.462269
62,0.469894
63,0.477518
64,0.485142
65,0.492764
66,0.500386
67,0.508007
68,0.515628
69,0.523247
70,0.530866
71,0.538483
72,0.5461
73,0.553716
74,0.561331
75,0.568945
76,0.576562
77,0.584183
78,0.591803
79,0.599423
80,0.607042
81,0.61466
82,0.622278
83,0.629895
84,0.637511
85,0.645127
86,0.652742
87,0.660356
88,0.66797
89,0.675583
90,0.683195
91,0.690807
92,0.698417
93,0.706027
94,0.713636
95,0.721245
96,0.728853
97,0.736459
98,0.744065
99,0.751671
100,0.759275
101,0.766879
102,0.774482
103,0.782084
104,0.789685
105,0.797285
106,0.804885
107,0.812483
108,0.820081
109,0.827678
110,0.835274
111,0.842869
112,0.850463
113,0.858056
114,0.865648
115,0.87324
116,0.88083
117,0.888419
118,0.896008
119,0.903595
120,0.911182
121,0.918767
122,0.926352
123,0.933935
124,0.941518
125,0.949099
126,0.95668
127,0.964259
128,0.971837
129,0.979415
130,0.986991
131,0.994566
132,1.00214
133,1.00971
134,1.01728
135,1.02486
136,1.03243
137,1.03999
138,1.04756
139,1.05513
140,1.06269
141,1.07026
142,1.07782
143,1.08538
144,1.09294
145,1.1005
146,1.10806
147,1.11561
148,1.12317
149,1.13072
150,1.13828
151,1.14583
152,1.15338
153,1.16093
154,1.16848
155,1.17602
156,1.18357
157,1.19111
158,1.19865
159,1.2062
160,1.21374
161,1.22127
162,1.22881
163,1.23635
164,1.24388
165,1.25141
166,1.25895
167,1.26648
168,1.27401
169,1.28153
170,1.28906
171,1.29658
172,1.30411
173,1.31163
174,1.31915
175,1.32667
176,1.33418
177,1.3417
178,1.34921
179,1.35673
180,1.36424
181,1.37175
182,1.37925
183,1.38676
184,1.39427
185,1.40177
186,1.40927
187,1.41677
188,1.42427
189,1.43177
190,1.43926
191,1.44676
192,1.45425
193,1.46174
194,1.46923
195,1.47671
196,1.4842
197,1.49168
198,1.49916
199,1.50664
200,1.51412
201,1.5216
202,1.52907
203,1.53655
204,1.54402
205,1.55149
206,1.55896
207,1.56642
208,1.57389
209,1.58135
210,1.58881
211,1.59627
212,1.60373
213,1.61118
214,1.61863
215,1.62609
216,1.63353
217,1.64098
218,1.64843
219,1.65587
220,1.66331
221,1.67075
222,1.67819
223,1.68563
224,1.69306
225,1.70049
226,1.70792
227,1.71535
228,1.72278
229,1.7302
230,1.73762
231,1.74504
232,1.75246
233,1.75988
234,1.76729
235,1.7747
236,1.78211
237,1.78952
238,1.79693
239,1.80433
240,1.81173
241,1.81913
242,1.82653
243,1.83392
244,1.84131
245,1.8487
246,1.85609
247,1.86348
248,1.87086
249,1.87824
250,1.88562
251,1.893
252,1.90037
253,1.90775
254,1.91512
255,1.92248
256,1.92985
257,1.93721
258,1.94457
259,1.95193
260,1.95929
261,1.96664
262,1.97399
263,1.98134
264,1.98869
265,1.99604
266,2.00338
267,2.01072
268,2.01805
269,2.02539
270,2.03272
271,2.04005
272,2.04738
273,2.0547
274,2.06203
275,2.06935
276,2.07666
277,2.08398
278,2.09129
279,2.0986
280,2.10591
281,2.11321
282,2.12051
283,2.12781
284,2.13511
285,2.14241
286,2.1497
287,2.15699
288,2.16427
289,2.17156
290,2.17884
291,2.18612
292,2.19339
293,2.20067
294,2.20794
295,2.2152
