Iteration, Maximum_Velocity
0,1.39058
1,1.96656
2,1.96654
3,1.96652
4,1.96651
5,1.96649
6,1.96647
7,1.96646
8,1.96644
9,1.96642
10,1.9664
11,1.96639
12,1.96637
13,1.96635
14,1.96633
15,1.96631
16,1.9663
17,1.96628
18,1.96626
19,1.96624
20,1.96622
21,1.9662
22,1.96618
23,1.96616
24,1.96614
25,1.96612
26,1.9661
27,1.96608
28,1.96606
29,1.96604
30,1.96602
31,1.966
32,1.96598
33,1.96596
34,1.96594
35,1.96592
36,1.9659
37,1.96588
38,1.96585
39,1.96583
40,1.96581
41,1.96579
42,1.96577
43,1.96574
44,1.96572
45,1.9657
46,1.96568
47,1.96565
48,1.96563
49,1.96561
50,1.96558
51,1.96556
52,1.96554
53,1.96551
54,1.96549
55,1.96546
56,1.96544
57,1.96542
58,1.96539
59,1.96537
60,1.96534
61,1.96532
62,1.96529
63,1.96527
64,1.96524
65,1.96521
66,1.96519
67,1.96516
68,1.96514
69,1.96511
70,1.96508
71,1.96506
72,1.96503
73,1.965
74,1.96498
75,1.96495
76,1.96492
77,1.96489
78,1.96487
79,1.96484
80,1.96481
81,1.96478
82,1.96475
83,1.96473
84,1.9647
85,1.96467
86,1.96464
87,1.96461
88,1.96458
89,1.96455
90,1.96452
91,1.96449
92,1.96446
93,1.96443
94,1.9644
95,1.96437
96,1.96434
97,1.96431
98,1.96428
99,1.96425
100,1.96422
101,2.40526
102,2.40523
103,2.4052
104,2.40516
105,2.40513
106,2.4051
107,2.40507
108,2.40504
109,2.405
110,2.40497
111,2.40494
112,2.4049
113,2.40487
114,2.40484
115,2.4048
116,2.40477
117,2.40473
118,2.4047
119,2.40466
120,2.40463
121,2.40459
122,2.40456
123,2.40452
124,2.40449
125,2.40445
126,2.40442
127,2.40438
128,2.40434
129,2.40431
130,2.40427
131,2.40423
132,2.4042
133,2.40416
134,2.40412
135,2.40408
136,2.40404
137,2.40401
138,2.40397
139,2.40393
140,2.40389
141,2.40385
142,2.40381
143,2.40377
144,2.40373
145,2.40369
146,2.40365
147,2.40361
148,2.40357
149,2.40353
150,2.40349
151,2.40345
152,2.40341
153,2.40336
154,2.40332
155,2.40328
156,2.40324
157,2.4032
158,2.40315
159,2.40311
160,2.40307
161,2.40302
162,2.40298
163,2.40294
164,2.40289
165,2.40285
166,2.4028
167,2.40276
168,2.40272
169,2.40267
170,2.40263
171,2.40258
172,2.40253
173,2.40249
174,2.40244
175,2.4024
176,2.40235
177,2.4023
178,2.40226
179,2.40221
180,2.40216
181,2.40211
182,2.40207
183,2.40202
184,2.40197
185,2.40192
186,2.40187
187,2.40182
188,2.40178
189,2.40173
190,2.40168
191,2.40163
192,2.40158
193,2.40153
194,2.40148
195,2.40143
196,2.40138
197,2.40132
198,2.40127
199,2.40122
200,2.40117
201,2.77216
202,2.77211
203,2.77206
204,2.77201
205,2.77195
206,2.7719
207,2.77185
208,2.77179
209,2.77174
210,2.77169
211,2.77163
212,2.77158
213,2.77152
214,2.77147
215,2.77141
216,2.77136
217,2.7713
218,2.77124
219,2.77119
220,2.77113
221,2.77107
222,2.77102
223,2.77096
224,2.7709
225,2.77084
226,2.77078
227,2.77072
228,2.77067
229,2.77061
230,2.77055
231,2.77049
232,2.77043
233,2.77037
234,2.77031
235,2.77025
236,2.77018
237,2.77012
238,2.77006
239,2.77
240,2.76994
241,2.76987
242,2.76981
243,2.76975
244,2.76969
245,2.76962
246,2.76956
247,2.76949
248,2.76943
249,2.76937
250,2.7693
251,2.76923
252,2.76917
253,2.7691
254,2.76904
255,2.76897
256,2.7689
257,2.76884
258,2.76877
259,2.7687
260,2.76863
261,2.76857
262,2.7685
263,2.76843
264,2.76836
265,2.76829
266,2.76822
267,2.76815
268,2.76808
269,2.76801
270,2.76794
271,2.76787
272,2.7678
273,2.76773
274,2.76765
275,2.76758
276,2.76751
277,2.76744
278,2.76736
279,2.76729
280,2.76722
281,2.76714
282,2.76707
283,2.76699
284,2.76692
285,2.76684
286,2.76677
287,2.76669
288,2.76662
289,2.76654
290,2.76646
291,2.76639
292,2.76631
293,2.76623
294,2.76615
295,2.76608
296,2.766
297,2.76592
298,2.76584
299,2.76576
300,2.76568
301,3.09189
302,3.09181
303,3.09173
304,3.09165
305,3.09157
306,3.09148
307,3.0914
308,3.09132
309,3.09124
310,3.09115
311,3.09107
312,3.09099
313,3.0909
314,3.09082
315,3.09073
316,3.09065
317,3.09056
318,3.09048
319,3.09039
320,3.0903
321,3.09021
322,3.09013
323,3.09004
324,3.08995
325,3.08986
326,3.08977
327,3.08968
328,3.08959
329,3.0895
330,3.08941
331,3.08932
332,3.08923
333,3.08914
334,3.08905
335,3.08896
336,3.08886
337,3.08877
338,3.08868
339,3.08858
340,3.08849
341,3.08839
342,3.0883
343,3.0882
344,3.08811
345,3.08801
346,3.08791
347,3.08782
348,3.08772
349,3.08762
350,3.08752
351,3.08742
352,3.08732
353,3.08723
354,3.08713
355,3.08703
356,3.08692
357,3.08682
358,3.08672
359,3.08662
360,3.08652
361,3.08642
362,3.08631
363,3.08621
364,3.08611
365,3.086
366,3.0859
367,3.08579
368,3.08569
369,3.08558
370,3.08547
371,3.08537
372,3.08526
373,3.08515
374,3.08504
375,3.08494
376,3.08483
377,3.08472
378,3.08461
379,3.0845
380,3.08439
381,3.08428
382,3.08417
383,3.08405
384,3.08394
385,3.08383
386,3.08372
387,3.0836
388,3.08349
389,3.08337
390,3.08326
391,3.08314
392,3.08303
393,3.08291
394,3.0828
395,3.08268
396,3.08256
397,3.08244
398,3.08232
399,3.08221
400,3.08209
401,3.37661
402,3.37649
403,3.37637
404,3.37625
405,3.37613
406,3.37601
407,3.37589
408,3.37576
409,3.37564
410,3.37552
411,3.37539
412,3.37527
413,3.37514
414,3.37501
415,3.37489
416,3.37476
417,3.37463
418,3.3745
419,3.37437
420,3.37425
421,3.37412
422,3.37398
423,3.37385
424,3.37372
425,3.37359
426,3.37346
427,3.37332
428,3.37319
429,3.37306
430,3.37292
431,3.37279
432,3.37265
433,3.37252
434,3.37238
435,3.37224
436,3.3721
437,3.37196
438,3.37183
439,3.37169
440,3.37155
441,3.37141
442,3.37126
443,3.37112
444,3.37098
445,3.37084
446,3.37069
447,3.37055
448,3.3704
449,3.37026
450,3.37011
451,3.36997
452,3.36982
453,3.36967
454,3.36953
455,3.36938
456,3.36923
457,3.36908
458,3.36893
459,3.36878
460,3.36862
461,3.36847
462,3.36832
463,3.36817
464,3.36801
465,3.36786
466,3.3677
467,3.36755
468,3.36739
469,3.36723
470,3.36708
471,3.36692
472,3.36676
473,3.3666
474,3.36644
475,3.36628
476,3.36612
477,3.36596
478,3.36579
479,3.36563
480,3.36547
481,3.3653
482,3.36514
483,3.36497
484,3.36481
485,3.36464
486,3.36447
487,3.3643
488,3.36413
489,3.36396
490,3.36379
491,3.36362
492,3.36345
493,3.36328
494,3.36311
495,3.36293
496,3.36276
497,3.36259
498,3.36241
499,3.36223
500,3.36206
501,3.63289
502,3.63271
503,3.63253
504,3.63235
505,3.63217
506,3.63199
507,3.63181
508,3.63163
509,3.63144
510,3.63126
511,3.63108
512,3.63089
513,3.6307
514,3.63052
515,3.63033
516,3.63014
517,3.62995
518,3.62976
519,3.62957
520,3.62938
521,3.62919
522,3.62899
523,3.6288
524,3.62861
525,3.62841
526,3.62821
527,3.62802
528,3.62782
529,3.62762
530,3.62742
531,3.62722
532,3.62702
533,3.62682
534,3.62662
535,3.62641
536,3.62621
537,3.626
538,3.6258
539,3.62559
540,3.62539
541,3.62518
542,3.62497
543,3.62476
544,3.62455
545,3.62434
546,3.62412
547,3.62391
548,3.6237
549,3.62348
550,3.62327
551,3.62305
552,3.62283
553,3.62261
554,3.62239
555,3.62217
556,3.62195
557,3.62173
558,3.62151
559,3.62128
560,3.62106
561,3.62084
562,3.62061
563,3.62038
564,3.62015
565,3.61993
566,3.6197
567,3.61946
568,3.61923
569,3.619
570,3.61877
571,3.61853
572,3.6183
573,3.61806
574,3.61783
575,3.61759
576,3.61735
577,3.61711
578,3.61687
579,3.61663
580,3.61638
581,3.61614
582,3.6159
583,3.61565
584,3.6154
585,3.61516
586,3.61491
587,3.61466
588,3.61441
589,3.61416
590,3.61391
591,3.61365
592,3.6134
593,3.61314
594,3.61289
595,3.61263
596,3.61237
597,3.61211
598,3.61185
599,3.61159
600,3.61133
601,3.86394
602,3.86368
603,3.86341
604,3.86315
605,3.86288
606,3.86261
607,3.86234
608,3.86207
609,3.8618
610,3.86153
611,3.86125
612,3.86098
613,3.8607
614,3.86043
615,3.86015
616,3.85987
617,3.85959
618,3.85931
619,3.85902
620,3.85874
621,3.85845
622,3.85817
623,3.85788
624,3.85759
625,3.8573
626,3.85701
627,3.85672
628,3.85643
629,3.85613
630,3.85584
631,3.85554
632,3.85524
633,3.85494
634,3.85464
635,3.85434
636,3.85404
637,3.85373
638,3.85343
