Iteration, Maximum_Velocity
0,28.9463
1,28.9803
2,28.9806
3,28.9808
4,28.981
5,28.9812
6,28.9814
7,28.9815
8,28.9816
9,28.9818
10,28.9819
11,28.9819
12,28.982
13,28.982
14,28.9821
15,28.9821
16,28.982
17,28.982
18,28.9819
19,28.9819
20,28.9818
21,28.9816
22,28.9815
23,28.9813
24,28.9812
25,28.9809
26,28.9807
27,28.9805
28,28.9802
29,28.9799
30,28.9796
31,28.9792
32,28.9789
33,28.9785
34,28.9781
35,28.9776
36,28.9771
37,28.9766
38,28.9761
39,28.9756
40,28.975
41,28.9744
42,28.9737
43,28.9731
44,28.9724
45,28.9717
46,28.9709
47,28.9701
48,28.9693
49,28.9684
50,28.9676
51,28.9666
52,28.9657
53,28.9647
54,28.9637
55,28.9626
56,28.9615
57,28.9604
58,28.9592
59,28.958
60,28.9567
61,28.9554
62,28.9541
63,28.9527
64,28.9513
65,28.9499
66,28.9483
67,28.9468
68,28.9452
69,28.9435
70,28.9418
71,28.9401
72,28.9383
73,28.9364
74,28.9345
75,28.9326
76,28.9306
77,28.9285
78,28.9264
79,28.9242
80,28.9219
81,28.9196
82,28.9173
83,28.9148
84,28.9124
85,28.9098
86,28.9072
87,28.9045
88,28.9017
89,28.8989
90,28.896
91,28.893
92,28.8899
93,28.8868
94,28.8836
95,28.8803
96,28.8769
97,28.8734
98,28.8699
99,28.8663
100,28.8625
101,28.9439
102,28.94
103,28.936
104,28.9319
105,28.9277
106,28.9234
107,28.919
108,28.9145
109,28.9099
110,28.9051
111,28.9003
112,28.8953
113,28.8902
114,28.885
115,28.8797
116,28.8743
117,28.8687
118,28.863
119,28.8572
120,28.8512
121,28.8451
122,28.8388
123,28.8324
124,28.8259
125,28.8192
126,28.8123
127,28.8053
128,28.7982
129,28.7908
130,28.7833
131,28.7756
132,28.7678
133,28.7598
134,28.7516
135,28.7432
136,28.7346
137,28.7258
138,28.7168
139,28.7076
140,28.6983
141,28.6887
142,28.6788
143,28.6688
144,28.6586
145,28.6481
146,28.6374
147,28.6264
148,28.6152
149,28.6037
150,28.592
151,28.5801
152,28.5678
153,28.5553
154,28.5425
155,28.5295
156,28.5161
157,28.5025
158,28.4885
159,28.4743
160,28.4597
161,28.4448
162,28.4296
163,28.414
164,28.3981
165,28.3819
166,28.3653
167,28.3484
168,28.331
169,28.3133
170,28.2952
171,28.2768
172,28.2579
173,28.2386
174,28.2189
175,28.1987
176,28.1781
177,28.1571
178,28.1356
179,28.1137
180,28.0913
181,28.0684
182,28.045
183,28.0211
184,27.9967
185,27.9718
186,27.9463
187,27.9203
188,27.8937
189,27.8666
190,27.8389
191,27.8106
192,27.7817
193,27.7522
194,27.722
195,27.6912
196,27.6598
197,27.6455
198,27.6447
199,27.6439
200,27.6431
201,28.0348
202,28.034
203,28.0333
204,28.0325
205,28.0317
206,28.0309
207,28.0302
208,28.0294
209,28.0286
210,28.0278
211,28.0271
212,28.0263
213,28.0255
214,28.0248
215,28.024
216,28.0232
217,28.0225
218,28.0217
219,28.0209
220,28.0202
221,28.0194
222,28.0187
223,28.0179
224,28.0172
225,28.0164
226,28.0157
227,28.0149
228,28.0142
229,28.0134
230,28.0127
231,28.0119
232,28.0112
233,28.0104
234,28.0097
235,28.0089
236,28.0082
237,28.0075
238,28.0067
239,28.006
240,28.0053
241,28.0045
242,28.0038
243,28.0031
244,28.0023
245,28.0016
