Iteration,Mean Rebuild Frequency
0,4000
1,4000
2,4000
3,4000
4,4000
5,4000
6,4000
7,4000
8,4000
9,4000
10,4000
11,4000
12,4000
13,4000
14,4000
15,4000
16,4000
17,4000
18,4000
19,4000
20,4000
21,4000
22,4000
23,4000
24,4000
25,4000
26,4000
27,4000
28,4000
29,4000
30,4000
31,4000
32,4000
33,4000
34,4000
35,4000
36,4000
37,4000
38,4000
39,4000
40,4000
41,4000
42,4000
43,4000
44,4000
45,4000
46,4000
47,4000
48,4000
49,4000
50,4000
51,4000
52,4000
53,4000
54,4000
55,4000
56,4000
57,4000
58,4000
59,4000
60,4000
61,4000
62,4000
63,4000
64,4000
65,4000
66,4000
67,4000
68,4000
69,4000
70,4000
71,4000
72,4000
73,4000
74,4000
75,4000
76,4000
77,4000
78,4000
79,4000
80,4000
81,4000
82,4000
83,4000
84,4000
85,4000
86,4000
87,4000
88,4000
89,4000
90,4000
91,4000
92,4000
93,4000
94,4000
95,4000
96,4000
97,4000
98,4000
99,4000
100,4000
101,4000
102,4000
103,4000
104,4000
105,4000
106,4000
107,4000
108,4000
109,4000
110,4000
111,4000
112,4000
113,4000
114,4000
115,4000
116,4000
117,4000
118,4000
119,4000
120,4000
121,4000
122,4000
123,4000
124,4000
125,4000
126,4000
127,4000
128,4000
129,4000
130,4000
131,4000
132,4000
133,4000
134,4000
135,4000
136,4000
137,4000
138,4000
139,4000
140,4000
141,4000
142,4000
143,4000
144,4000
145,4000
146,4000
147,4000
148,4000
149,4000
150,4000
151,4000
152,4000
153,4000
154,4000
155,4000
156,4000
157,4000
158,4000
159,4000
160,4000
161,4000
162,4000
163,4000
164,4000
165,4000
166,4000
167,4000
168,4000
169,4000
170,4000
171,4000
172,4000
173,4000
174,4000
175,4000
176,4000
177,4000
178,4000
179,4000
180,4000
181,4000
182,4000
183,4000
184,4000
185,4000
186,4000
187,4000
188,4000
189,4000
190,4000
191,4000
192,4000
193,4000
194,4000
195,4000
196,4000
197,4000
198,4000
199,4000
200,4000
201,4000
202,4000
203,4000
204,4000
205,4000
206,4000
207,4000
208,4000
209,4000
210,4000
211,4000
212,4000
213,4000
214,4000
215,4000
216,4000
217,4000
218,4000
219,4000
220,4000
221,4000
222,4000
223,4000
224,4000
225,4000
226,4000
227,4000
228,4000
229,4000
230,4000
231,4000
232,4000
233,4000
234,4000
235,4000
236,4000
237,4000
238,4000
239,4000
240,4000
241,4000
242,4000
243,4000
244,4000
245,4000
246,4000
247,4000
248,4000
249,4000
250,4000
251,4000
252,4000
253,4000
254,4000
255,4000
256,4000
257,4000
258,4000
259,4000
260,4000
261,4000
262,4000
263,4000
264,4000
265,4000
266,4000
267,4000
268,4000
269,4000
270,4000
271,4000
272,4000
273,4000
274,4000
275,4000
276,4000
277,4000
278,4000
279,4000
280,4000
281,4000
282,4000
283,4000
284,4000
285,4000
286,4000
287,4000
288,4000
289,4000
290,4000
291,4000
292,4000
293,4000
294,4000
295,4000
296,4000
297,4000
298,4000
299,4000
300,4000
301,4000
302,4000
303,4000
304,4000
305,4000
306,4000
307,4000
308,4000
309,4000
310,4000
311,4000
312,4000
313,4000
314,4000
315,4000
316,4000
317,4000
318,4000
319,4000
320,4000
321,4000
322,4000
323,4000
324,4000
325,4000
326,4000
327,4000
328,4000
329,4000
330,4000
331,4000
332,4000
333,4000
334,4000
335,4000
336,4000
337,4000
338,4000
339,4000
340,1
341,2
342,3
343,4
344,5
345,6
346,7
347,8
348,9
349,10
350,11
351,12
352,13
353,7
354,7.5
355,8
356,8.5
357,9
358,9.5
359,10
360,10.5
361,11
362,11.5
363,12
364,12.5
365,13
366,9
367,9.33333
368,9.66667
369,10
370,10.3333
371,10.6667
372,11
373,11.3333
374,11.6667
375,12
376,12.3333
377,12.6667
378,13
379,10
380,10.25
381,10.5
382,10.75
383,11
384,11.25
385,11.5
386,11.75
387,12
388,12.25
389,12.5
390,12.75
391,13
392,10.6
393,10.8
394,11
395,11.2
396,11.4
397,11.6
398,11.8
399,12
400,12.2
401,12.4
402,12.6
403,12.8
404,10.8333
405,11
406,11.1667
407,11.3333
408,11.5
409,11.6667
410,11.8333
411,12
412,12.1667
413,12.3333
414,12.5
415,12.6667
416,11
417,11.1429
418,11.2857
419,11.4286
420,11.5714
421,11.7143
422,11.8571
423,12
424,12.1429
425,12.2857
426,12.4286
427,12.5714
428,12.7143
429,11.25
430,11.375
431,11.5
432,11.625
433,11.75
434,11.875
435,12
436,12.125
437,12.25
438,12.375
439,12.5
440,12.625
441,12.75
442,11.4444
443,11.5556
444,11.6667
445,11.7778
446,11.8889
447,12
448,12.1111
449,12.2222
450,12.3333
451,12.4444
452,12.5556
453,12.6667
454,11.5
455,11.6
456,11.7
457,11.8
458,11.9
459,12
460,12.1
461,12.2
462,12.3
463,12.4
464,12.5
465,12.6
466,11.5455
467,11.6364
468,11.7273
469,11.8182
470,11.9091
471,12
472,12.0909
473,12.1818
474,12.2727
475,12.3636
476,12.4545
477,12.5455
478,11.5833
479,11.6667
480,11.75
481,11.8333
482,11.9167
483,12
484,12.0833
485,12.1667
486,12.25
487,12.3333
488,12.4167
489,12.5
490,12.5833
491,11.6923
492,11.7692
493,11.8462
494,11.9231
495,12
496,12.0769
497,12.1538
498,12.2308
499,12.3077
500,12.3846
501,12.4615
502,12.5385
503,12.6154
504,11.7857
505,11.8571
506,11.9286
507,12
508,12.0714
509,12.1429
510,12.2143
511,12.2857
512,12.3571
513,12.4286
514,12.5
515,12.5714
516,12.6429
