Iteration,Mean Rebuild Frequency
0,4000
1,4000
2,4000
3,4000
4,4000
5,4000
6,4000
7,4000
8,4000
9,4000
10,4000
11,4000
12,4000
13,4000
14,4000
15,4000
16,4000
17,4000
18,4000
19,4000
20,4000
21,4000
22,4000
23,4000
24,4000
25,4000
26,4000
27,4000
28,4000
29,4000
30,4000
31,4000
32,4000
33,4000
34,4000
35,4000
36,4000
37,4000
38,4000
39,4000
40,4000
41,4000
42,4000
43,4000
44,4000
45,4000
46,4000
47,4000
48,4000
49,4000
50,4000
51,4000
52,4000
53,4000
54,4000
55,4000
56,4000
57,4000
58,4000
59,4000
60,4000
61,4000
62,4000
63,4000
64,4000
65,4000
66,4000
67,4000
68,4000
69,4000
70,4000
71,4000
72,4000
73,4000
74,4000
75,4000
76,4000
77,4000
78,4000
79,4000
80,4000
81,4000
82,4000
83,4000
84,4000
85,4000
86,4000
87,4000
88,4000
89,4000
90,4000
91,4000
92,4000
93,4000
94,4000
95,4000
96,4000
97,4000
98,4000
99,4000
100,4000
101,4000
102,4000
103,4000
104,4000
105,4000
106,4000
107,4000
108,4000
109,4000
110,4000
111,4000
112,4000
113,4000
114,4000
115,4000
116,4000
117,4000
118,4000
119,4000
120,4000
121,4000
122,4000
123,4000
124,4000
125,4000
126,4000
127,4000
128,4000
129,4000
130,4000
131,4000
132,4000
133,4000
134,4000
135,4000
136,4000
137,4000
138,4000
139,4000
140,4000
141,4000
142,4000
143,4000
144,4000
145,4000
146,4000
147,4000
148,4000
149,4000
150,4000
151,4000
152,4000
153,4000
154,4000
155,4000
156,4000
157,4000
158,4000
159,4000
160,4000
161,4000
162,4000
163,4000
164,4000
165,4000
166,4000
167,4000
168,4000
169,4000
170,4000
171,4000
172,4000
173,4000
174,4000
175,4000
176,4000
177,4000
178,4000
179,4000
180,4000
181,4000
182,4000
183,4000
184,4000
185,4000
186,4000
187,4000
188,4000
189,4000
190,4000
191,4000
192,4000
193,4000
194,4000
195,4000
196,4000
197,4000
198,4000
199,4000
200,4000
201,4000
202,4000
203,4000
204,4000
205,4000
206,4000
207,4000
208,4000
209,4000
210,4000
211,4000
212,4000
213,4000
214,4000
215,4000
216,4000
217,4000
218,4000
219,4000
220,4000
221,4000
222,4000
223,4000
224,4000
225,4000
226,4000
227,4000
228,4000
229,4000
230,4000
231,4000
232,4000
233,4000
234,4000
235,4000
236,4000
237,4000
238,4000
239,4000
240,4000
241,4000
242,4000
243,4000
244,4000
245,4000
246,4000
247,4000
248,4000
249,4000
250,4000
251,4000
252,4000
253,4000
254,4000
255,4000
256,4000
257,4000
258,4000
259,4000
260,4000
261,4000
262,4000
263,4000
264,4000
265,4000
266,4000
267,4000
268,4000
269,4000
270,4000
271,4000
272,4000
273,4000
274,4000
275,4000
276,4000
277,4000
278,4000
279,4000
280,4000
281,4000
282,4000
283,4000
284,4000
285,4000
286,4000
287,4000
288,4000
289,4000
290,4000
291,4000
292,4000
293,4000
294,4000
295,4000
296,4000
297,4000
298,4000
299,4000
300,4000
301,4000
302,4000
303,4000
304,4000
305,4000
306,4000
307,4000
308,4000
309,4000
310,4000
311,4000
312,4000
313,4000
314,4000
315,4000
316,4000
317,4000
318,4000
319,4000
320,4000
321,4000
322,4000
323,4000
324,4000
325,4000
326,4000
327,4000
328,4000
329,4000
330,4000
331,4000
332,4000
333,4000
334,4000
335,4000
336,4000
337,4000
338,4000
339,4000
340,1
341,2
342,3
343,4
344,5
345,6
346,7
347,8
348,9
349,10
350,11
351,12
352,13
353,14
354,15
355,16
356,17
357,18
358,19
359,20
360,21
361,22
362,23
363,24
364,25
365,26
366,27
367,28
368,29
369,30
370,31
371,32
372,33
373,34
374,35
375,36
376,37
377,38
378,39
379,40
380,41
381,42
382,43
383,44
384,45
385,46
386,47
387,48
388,49
389,50
390,51
391,52
392,53
393,54
394,55
395,56
396,57
397,58
398,59
399,60
400,61
401,62
402,63
403,64
404,65
405,66
406,67
407,68
408,69
409,70
410,71
411,72
412,73
413,74
414,75
415,76
416,77
417,78
418,79
419,80
420,40.5
421,41
422,41.5
423,42
424,42.5
425,43
426,43.5
427,44
428,44.5
429,45
430,45.5
431,46
432,46.5
433,47
434,47.5
435,48
436,48.5
437,49
438,49.5
439,50
440,50.5
441,51
442,51.5
443,52
444,52.5
445,53
446,53.5
447,54
448,54.5
449,55
450,55.5
451,56
452,56.5
453,57
454,57.5
455,58
456,58.5
457,59
458,59.5
459,60
460,60.5
461,61
462,61.5
463,62
464,62.5
465,63
466,63.5
467,64
468,64.5
469,65
470,65.5
471,66
472,66.5
473,67
474,67.5
475,68
476,68.5
477,69
478,69.5
479,70
480,70.5
481,71
482,71.5
483,72
484,72.5
485,73
486,73.5
487,74
488,74.5
489,75
490,75.5
491,76
492,76.5
493,77
494,51.6667
495,52
496,52.3333
497,52.6667
498,53
499,53.3333
500,53.6667
501,54
502,54.3333
503,54.6667
504,55
505,55.3333
506,55.6667
507,56
508,56.3333
509,56.6667
510,57
511,57.3333
512,57.6667
513,58
514,58.3333
515,58.6667
516,59
517,59.3333
518,59.6667
519,60
520,60.3333
521,60.6667
522,61
523,61.3333
524,61.6667
525,62
526,62.3333
527,62.6667
528,63
529,63.3333
530,63.6667
531,64
532,64.3333
533,64.6667
534,65
535,65.3333
536,65.6667
537,66
538,66.3333
539,66.6667
540,67
541,67.3333
542,67.6667
543,68
544,68.3333
545,68.6667
546,69
547,69.3333
548,69.6667
549,70
550,70.3333
551,70.6667
552,71
553,71.3333
554,71.6667
