Iteration,Mean Rebuild Frequency
0,4000
1,4000
2,4000
3,4000
4,4000
5,4000
6,4000
7,4000
8,4000
9,4000
10,4000
11,4000
12,4000
13,4000
14,4000
15,4000
16,4000
17,4000
18,4000
19,4000
20,4000
21,4000
22,4000
23,4000
24,4000
25,4000
26,4000
27,4000
28,4000
29,4000
30,4000
31,4000
32,4000
33,4000
34,4000
35,4000
36,4000
37,4000
38,4000
39,4000
40,4000
41,4000
42,4000
43,4000
44,4000
45,4000
46,4000
47,4000
48,4000
49,4000
50,4000
51,4000
52,4000
53,4000
54,4000
55,4000
56,4000
57,4000
58,4000
59,4000
60,4000
61,4000
62,4000
63,4000
64,4000
65,4000
66,4000
67,4000
68,4000
69,4000
70,4000
71,4000
72,4000
73,4000
74,4000
75,4000
76,4000
77,4000
78,4000
79,4000
80,4000
81,4000
82,4000
83,4000
84,4000
85,4000
86,4000
87,4000
88,4000
89,4000
90,4000
91,4000
92,4000
93,4000
94,4000
95,4000
96,4000
97,4000
98,4000
99,4000
100,4000
101,4000
102,4000
103,4000
104,4000
105,4000
106,4000
107,4000
108,4000
109,4000
110,4000
111,4000
112,4000
113,4000
114,4000
115,4000
116,4000
117,4000
118,4000
119,4000
120,4000
121,4000
122,4000
123,4000
124,4000
125,4000
126,4000
127,4000
128,4000
129,4000
130,4000
131,4000
132,4000
133,4000
134,4000
135,4000
136,4000
137,4000
138,4000
139,4000
140,4000
141,4000
142,4000
143,4000
144,4000
145,4000
146,4000
147,4000
148,4000
149,4000
150,4000
151,4000
152,4000
153,4000
154,4000
155,4000
156,4000
157,4000
158,4000
159,4000
160,4000
161,4000
162,4000
163,4000
164,4000
165,4000
166,4000
167,4000
168,4000
169,4000
170,4000
171,4000
172,4000
173,4000
174,4000
175,4000
176,4000
177,4000
178,4000
179,4000
180,4000
181,4000
182,4000
183,4000
184,4000
185,4000
186,4000
187,4000
188,4000
189,4000
190,4000
191,4000
192,4000
193,4000
194,4000
195,4000
196,4000
197,4000
198,4000
199,4000
200,4000
201,4000
202,4000
203,4000
204,4000
205,4000
206,4000
207,4000
208,4000
209,4000
210,4000
211,4000
212,4000
213,4000
214,4000
215,4000
216,4000
217,4000
218,4000
219,4000
220,4000
221,4000
222,4000
223,4000
224,4000
225,4000
226,4000
227,4000
228,4000
229,4000
230,4000
231,4000
232,4000
233,4000
234,4000
235,4000
236,4000
237,4000
238,4000
239,4000
240,4000
241,4000
242,4000
243,4000
244,4000
245,4000
246,4000
247,4000
248,4000
249,4000
250,4000
251,4000
252,4000
253,4000
254,4000
255,4000
256,4000
257,4000
258,4000
259,4000
260,4000
261,4000
262,4000
263,4000
264,4000
265,4000
266,4000
267,4000
268,4000
269,4000
270,4000
271,4000
272,4000
273,4000
274,4000
275,4000
276,4000
277,4000
278,4000
279,4000
280,4000
281,4000
282,4000
283,4000
284,4000
285,4000
286,4000
287,4000
288,4000
289,4000
290,4000
291,4000
292,4000
293,4000
294,4000
295,4000
296,4000
297,4000
298,4000
299,4000
300,4000
301,4000
302,4000
303,4000
304,4000
305,4000
306,4000
307,4000
308,4000
309,4000
310,4000
311,4000
312,4000
313,4000
314,4000
315,4000
316,4000
317,4000
318,4000
319,4000
320,4000
321,4000
322,4000
323,4000
324,4000
325,4000
326,4000
327,4000
328,4000
329,4000
330,4000
331,4000
332,4000
333,4000
334,4000
335,4000
336,4000
337,4000
338,4000
339,4000
340,1
341,2
342,3
343,4
344,5
345,6
346,7
347,8
348,9
349,10
350,11
351,12
352,13
353,14
354,15
355,16
356,17
357,18
358,19
359,20
360,21
361,22
362,11.5
363,12
364,12.5
365,13
366,13.5
367,14
368,14.5
369,15
370,15.5
371,16
372,16.5
373,17
374,17.5
375,18
376,18.5
377,19
378,19.5
379,20
380,20.5
381,21
382,21.5
383,22
384,22.5
385,23
386,15.6667
387,16
388,16.3333
389,16.6667
390,17
391,17.3333
392,17.6667
393,18
394,18.3333
395,18.6667
396,19
397,19.3333
398,19.6667
399,20
400,20.3333
401,20.6667
402,21
403,21.3333
404,21.6667
405,22
406,22.3333
407,22.6667
408,23
409,23.3333
410,23.6667
411,18
412,18.25
413,18.5
414,18.75
415,19
416,19.25
417,19.5
418,19.75
419,20
420,20.25
421,20.5
422,20.75
423,21
424,21.25
425,21.5
426,21.75
427,22
428,22.25
429,22.5
430,22.75
431,23
432,23.25
433,23.5
434,23.75
435,24
436,24.25
437,19.6
438,19.8
439,20
440,20.2
441,20.4
442,20.6
443,20.8
444,21
445,21.2
446,21.4
447,21.6
448,21.8
449,22
450,22.2
451,22.4
452,22.6
453,22.8
454,23
455,23.2
456,23.4
457,23.6
458,23.8
459,24
460,24.2
461,24.4
462,24.6
463,20.6667
464,20.8333
465,21
466,21.1667
467,21.3333
468,21.5
469,21.6667
470,21.8333
471,22
472,22.1667
473,22.3333
474,22.5
475,22.6667
476,22.8333
477,23
478,23.1667
479,23.3333
480,23.5
481,23.6667
482,23.8333
483,24
484,24.1667
485,24.3333
486,24.5
487,24.6667
488,24.8333
489,21.4286
490,21.5714
491,21.7143
492,21.8571
493,22
494,22.1429
495,22.2857
496,22.4286
497,22.5714
498,22.7143
499,22.8571
500,23
501,23.1429
502,23.2857
503,23.4286
504,23.5714
505,23.7143
506,23.8571
507,24
508,24.1429
509,24.2857
510,24.4286
511,24.5714
512,24.7143
513,24.8571
514,25
515,22
516,22.125
517,22.25
518,22.375
519,22.5
520,22.625
521,22.75
522,22.875
523,23
524,23.125
525,23.25
526,23.375
527,23.5
