Rebuild_Number, Number_of_Iterations_in_Between
1,1
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,13
116,13
117,13
118,13
119,12
120,12
121,13
122,13
123,12
124,12
125,12
126,13
127,13
128,13
129,13
130,12
131,11
132,11
133,11
134,12
135,13
136,12
137,12
138,14
139,14
140,12
141,11
142,12
143,12
144,12
145,13
146,13
147,13
148,14
149,14
150,15
151,14
152,14
153,14
154,14
155,14
156,15
157,15
158,13
159,13
160,15
161,15
162,14
163,14
164,14
165,15
166,15
167,15
168,15
169,16
170,15
171,15
172,15
173,15
174,15
175,15
176,15
177,16
178,16
179,16
180,16
181,15
182,15
183,15
184,15
185,14
186,14
187,14
188,15
189,14
190,13
191,12
192,13
193,15
194,15
195,14
196,14
197,15
198,15
199,16
200,16
201,16
202,16
203,15
204,15
205,15
206,15
207,15
208,16
209,16
210,16
211,15
212,15
213,16
214,15
215,14
216,13
217,13
218,16
219,16
220,16
221,16
222,16
223,14
224,14
225,15
226,15
227,15
228,15
229,15
230,15
231,15
232,15
233,15
234,15
235,15
236,15
237,14
238,14
239,14
240,15
241,14
242,14
243,14
244,15
245,16
246,16
247,16
248,14
249,13
250,13
251,14
252,15
253,14
254,14
255,14
256,15
257,15
258,15
259,14
260,13
261,13
262,13
263,13
264,14
265,14
266,13
267,13
268,13
269,13
270,13
271,12
272,12
273,11
274,11
275,11
276,10
277,10
278,10
279,10
280,11
281,13
282,14
283,15
284,15
285,15
286,15
287,15
288,15
289,14
290,14
291,14
292,14
293,15
294,15
295,15
296,15
297,15
298,14
299,14
300,13
301,13
302,16
303,16
304,15
305,14
306,14
307,15
308,16
309,15
310,15
311,15
312,15
313,16
314,16
315,14
316,14
317,14
318,15
319,17
320,16
321,16
322,16
323,16
324,15
325,15
326,15
327,14
328,13
329,14
330,15
331,16
332,16
333,15
334,15
335,14
336,15
337,15
338,15
339,14
340,14
341,15
342,15
343,14
344,13
345,13
346,14
347,14
348,15
349,15
350,14
351,14
352,14
353,14
354,14
355,15
356,15
357,15
358,14
359,14
360,15
361,15
362,15
363,14
364,13
365,12
366,12
367,14
368,17
369,16
370,15
371,15
