Rebuild_Number, Number_of_Iterations_in_Between
1,1
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,427
37,221
38,172
39,144
40,127
41,113
42,103
43,96
44,90
45,86
46,82
47,78
48,75
49,71
50,70
51,56
52,54
53,54
54,54
55,55
56,56
57,57
58,58
59,57
60,54
61,56
62,54
63,53
64,52
65,49
66,49
67,51
68,48
69,47
70,48
71,44
72,43
73,40
74,41
75,40
76,40
77,39
78,41
79,40
80,40
81,40
82,39
83,37
84,39
85,39
86,38
87,40
88,38
89,41
90,40
91,40
92,40
