Rebuild_Number, Number_of_Iterations_in_Between
1,1
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,80
116,75
117,70
118,68
119,65
120,62
121,61
122,60
123,58
124,57
125,54
126,54
127,51
128,51
129,49
130,49
131,47
132,47
133,45
134,45
135,43
136,43
137,42
138,41
139,41
140,40
141,40
142,39
143,38
144,38
145,37
146,37
147,37
148,36
149,36
150,36
151,36
152,37
153,37
154,37
155,39
156,39
157,41
158,40
159,40
160,40
161,39
162,40
163,40
164,39
165,39
166,38
167,37
168,37
169,37
170,38
171,38
172,38
173,38
174,36
175,36
176,35
177,35
178,35
179,35
180,34
181,34
182,34
183,34
184,34
185,34
186,34
187,33
188,33
189,32
190,32
191,32
192,32
193,33
194,33
195,32
196,32
197,32
198,32
199,32
200,32
201,32
202,31
203,31
