Rebuild_Number, Number_of_Iterations_in_Between
1,1
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,22
116,24
117,25
118,26
119,26
120,26
121,26
122,25
123,25
124,25
125,26
126,25
127,26
128,25
129,25
130,25
131,26
132,26
133,26
134,26
135,24
136,24
137,25
138,23
139,23
140,23
141,23
142,23
143,23
144,23
145,22
146,22
147,23
148,23
149,22
150,22
151,23
152,21
153,21
154,21
155,22
156,22
157,23
158,23
159,23
160,22
161,22
162,22
163,24
164,23
165,23
166,24
167,23
168,21
169,25
170,23
171,23
172,24
173,24
174,24
175,24
176,24
177,24
178,24
179,24
180,23
181,24
182,23
183,23
184,23
185,23
186,23
187,23
188,23
189,23
190,23
191,23
192,23
193,23
194,23
195,21
196,22
197,21
198,22
199,22
200,23
201,23
202,24
203,23
204,23
205,23
206,24
207,25
208,24
209,24
210,23
211,21
212,22
213,22
214,23
215,24
216,23
217,23
218,23
219,24
220,24
221,23
222,25
223,25
224,22
225,22
226,23
227,23
228,23
229,23
230,23
231,23
232,23
233,23
234,23
235,23
236,23
237,24
238,24
239,24
240,24
241,23
242,24
243,24
244,24
245,24
246,25
247,25
248,24
249,25
250,25
251,25
252,25
253,25
254,24
255,25
256,25
257,23
258,24
259,24
260,24
261,24
262,24
263,24
264,24
265,24
266,24
267,23
268,23
269,25
