Iteration,MeanRF
0,4000
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,108
109,109
110,110
111,111
112,112
113,113
114,114
115,115
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,127
128,128
129,129
130,130
131,131
132,132
133,133
134,134
135,135
136,136
137,137
138,138
139,139
140,140
141,141
142,142
143,143
144,144
145,145
146,146
147,147
148,148
149,149
150,150
151,151
152,152
153,153
154,154
155,155
156,156
157,157
158,158
159,159
160,160
161,161
162,162
163,163
164,164
165,165
166,166
167,167
168,168
169,169
170,170
171,171
172,172
173,173
174,174
175,175
176,176
177,177
178,178
179,179
180,180
181,181
182,182
183,183
184,184
185,185
186,186
187,187
188,188
189,189
190,190
191,191
192,192
193,193
194,194
195,195
196,196
197,197
198,198
199,199
200,200
201,201
202,202
203,203
204,204
205,205
206,206
207,207
208,208
209,209
210,210
211,211
212,212
213,213
214,214
215,215
216,216
217,217
218,218
219,219
220,220
221,221
222,222
223,223
224,224
225,225
226,226
227,227
228,228
229,229
230,230
231,231
232,232
233,233
234,234
235,235
236,236
237,237
238,238
239,239
240,240
241,241
242,242
243,243
244,244
245,245
246,246
247,247
248,248
249,249
250,250
251,251
252,252
253,253
254,254
255,255
256,256
257,257
258,258
259,259
260,260
261,261
262,262
263,263
264,264
265,265
266,266
267,267
268,268
269,269
270,270
271,271
272,272
273,273
274,274
275,275
276,276
277,277
278,278
279,279
280,280
281,281
282,282
283,283
284,284
285,285
286,286
287,287
288,288
289,289
290,290
291,291
292,292
293,293
294,294
295,295
296,296
297,297
298,298
299,299
300,300
301,301
302,302
303,303
304,304
305,305
306,306
307,307
308,308
309,309
310,310
311,311
312,312
313,313
314,314
315,315
316,316
317,317
318,318
319,319
320,320
321,321
322,322
323,323
324,324
325,325
326,326
327,327
328,328
329,329
330,330
331,331
332,332
333,333
334,334
335,335
336,336
337,337
338,338
339,339
340,340
341,341
342,342
343,343
344,344
345,345
346,346
347,347
348,348
349,349
350,350
351,351
352,352
353,353
354,354
355,355
356,356
357,357
358,358
359,359
360,360
361,361
362,362
363,363
364,364
365,365
366,366
367,367
368,368
369,369
370,370
371,371
372,372
373,373
374,374
375,375
376,376
377,377
378,378
379,379
380,380
381,381
382,382
383,383
384,384
385,385
386,386
387,387
388,388
389,389
390,390
391,391
392,392
393,393
394,394
395,395
396,396
397,397
398,398
399,399
400,400
401,401
402,402
403,403
404,404
405,405
406,406
407,407
408,408
409,409
410,410
411,411
412,412
413,413
414,414
415,415
416,416
417,417
418,418
419,419
420,420
421,421
422,422
423,423
424,424
425,425
426,426
427,427
428,428
429,429
430,430
431,431
432,432
433,433
434,434
435,435
436,436
437,437
438,438
439,439
440,440
441,441
442,442
443,443
444,444
445,445
446,446
447,447
448,448
449,449
450,450
451,451
452,452
453,453
454,454
455,455
456,456
457,457
458,458
459,459
460,460
461,461
462,462
463,463
464,464
465,465
466,466
467,467
468,468
469,469
470,470
471,471
472,472
473,473
474,474
475,475
476,476
477,477
478,478
479,479
480,480
481,481
482,482
483,483
484,484
485,485
486,486
487,487
488,488
489,489
490,490
491,491
492,492
493,493
494,494
495,495
496,496
497,497
498,498
499,499
500,500
501,501
502,502
503,503
504,504
505,505
506,506
507,507
508,508
509,509
510,510
511,511
512,512
513,513
514,514
515,515
516,516
517,517
518,518
519,259.5
520,260
521,260.5
522,261
523,261.5
524,262
525,262.5
526,263
527,263.5
528,264
529,264.5
530,265
531,265.5
532,266
533,266.5
534,267
535,267.5
536,268
537,268.5
538,269
539,269.5
540,270
541,270.5
542,271
543,271.5
544,272
545,272.5
546,273
547,273.5
548,274
549,274.5
550,275
551,275.5
552,276
553,276.5
554,277
555,277.5
556,278
557,278.5
558,279
559,279.5
560,280
561,280.5
562,281
563,281.5
564,282
565,282.5
566,283
567,283.5
568,284
569,284.5
570,285
571,285.5
572,286
573,286.5
574,287
575,287.5
576,288
577,288.5
578,289
579,289.5
580,290
581,290.5
582,291
583,291.5
584,292
585,292.5
586,293
587,293.5
588,294
589,294.5
590,295
591,295.5
592,296
593,296.5
594,297
595,297.5
596,298
597,298.5
598,299
599,299.5
600,300
601,300.5
602,301
603,301.5
604,302
605,302.5
606,303
607,303.5
608,304
609,304.5
610,305
611,305.5
612,306
613,306.5
614,307
615,307.5
616,308
617,308.5
618,309
619,309.5
620,310
621,310.5
622,311
623,311.5
624,312
625,312.5
626,313
627,313.5
628,314
629,314.5
630,315
631,315.5
632,316
633,316.5
634,317
635,317.5
636,318
637,318.5
638,319
639,319.5
640,320
641,320.5
642,321
643,321.5
644,322
645,322.5
646,323
647,323.5
648,324
649,324.5
650,325
651,325.5
652,326
653,326.5
654,327
655,327.5
656,328
657,328.5
658,329
659,329.5
660,330
661,330.5
662,331
663,331.5
664,332
665,332.5
666,333
667,333.5
668,334
669,334.5
670,335
671,335.5
672,336
673,336.5
674,337
675,337.5
676,338
677,338.5
678,339
679,339.5
680,340
681,340.5
682,341
683,341.5
684,342
685,342.5
686,343
687,343.5
688,344
689,344.5
690,345
691,345.5
692,346
693,346.5
694,347
695,347.5
696,348
697,348.5
698,349
699,349.5
700,350
701,350.5
702,351
703,351.5
704,352
705,352.5
706,353
707,353.5
708,354
709,354.5
710,355
711,355.5
712,356
713,356.5
714,357
715,357.5
716,358
717,358.5
718,359
719,359.5
720,360
721,360.5
722,361
723,361.5
724,362
725,362.5
726,363
727,363.5
728,364
729,364.5
730,365
731,365.5
732,366
733,366.5
734,367
735,367.5
736,368
737,368.5
738,369
739,369.5
740,370
741,370.5
742,371
743,247.667
744,248
745,248.333
746,248.667
747,249
748,249.333
749,249.667
750,250
751,250.333
752,250.667
753,251
754,251.333
755,251.667
756,252
757,252.333
758,252.667
759,253
760,253.333
761,253.667
762,254
763,254.333
764,254.667
765,255
766,255.333
767,255.667
768,256
769,256.333
770,256.667
771,257
772,257.333
773,257.667
774,258
775,258.333
776,258.667
777,259
778,259.333
779,259.667
780,260
781,260.333
782,260.667
783,261
784,261.333
785,261.667
786,262
787,262.333
788,262.667
789,263
790,263.333
791,263.667
792,264
793,264.333
794,264.667
795,265
796,265.333
797,265.667
798,266
799,266.333
800,266.667
801,267
802,267.333
803,267.667
804,268
805,268.333
806,268.667
807,269
808,269.333
809,269.667
810,270
811,270.333
812,270.667
813,271
814,271.333
815,271.667
816,272
817,272.333
818,272.667
819,273
820,273.333
821,273.667
822,274
823,274.333
824,274.667
825,275
826,275.333
827,275.667
828,276
829,276.333
830,276.667
831,277
832,277.333
833,277.667
834,278
835,278.333
836,278.667
837,279
838,279.333
839,279.667
840,280
841,280.333
842,280.667
843,281
844,281.333
845,281.667
846,282
847,282.333
848,282.667
849,283
850,283.333
851,283.667
852,284
853,284.333
854,284.667
855,285
856,285.333
857,285.667
858,286
859,286.333
860,286.667
861,287
862,287.333
863,287.667
864,288
865,288.333
866,288.667
867,289
868,289.333
869,289.667
870,290
871,290.333
872,290.667
873,291
874,291.333
875,291.667
876,292
877,292.333
878,292.667
879,293
880,293.333
881,293.667
882,294
883,294.333
884,294.667
885,295
886,295.333
887,295.667
888,296
889,296.333
890,296.667
891,297
892,297.333
893,297.667
