Iteration, Estimate
0,20000000000000
1,780.315
2,260.921
3,157.254
4,112.996
5,88.5219
6,73.0363
7,62.3883
8,54.6416
9,48.7711
10,44.1834
11,40.5111
12,37.5146
13,35.0309
14,32.9453
15,31.1747
16,29.6577
17,28.3474
18,27.2079
19,26.2109
20,25.3342
21,24.5598
22,23.8729
23,23.2617
24,22.6362
25,22.0089
26,21.4373
27,20.9146
28,20.4354
29,19.9949
30,19.5889
31,19.2139
32,18.8668
33,18.5447
34,18.2453
35,17.9665
36,17.7063
37,17.4632
38,17.2356
39,17.0223
40,16.8219
41,16.6335
42,16.456
43,16.2887
44,16.1306
45,15.9812
46,15.8396
47,15.7045
48,15.5758
49,15.4532
50,15.3366
51,15.2245
52,15.1166
53,15.0135
54,14.9149
55,14.8205
56,14.7301
57,14.6435
58,14.5605
59,14.4811
60,14.4052
61,14.3327
62,14.263
63,14.1964
64,14.1334
65,14.0742
66,14.019
67,13.9681
68,13.9216
69,13.8799
70,13.8429
71,13.8108
72,13.7846
73,13.7648
74,13.7527
75,13.7503
76,13.7593
77,13.7812
78,13.8179
79,13.8714
80,13.944
81,14.0384
82,14.1578
83,14.3059
84,14.4864
85,14.7041
86,14.8352
87,14.8246
88,14.8291
89,14.8507
90,14.8915
91,14.9536
92,15.0399
93,15.0859
94,15.0586
95,15.0355
96,15.0163
97,15.0005
98,14.9876
99,14.9771
100,14.9686
101,14.9611
102,14.9543
103,14.9486
104,14.944
105,14.9403
106,14.9372
107,14.9348
108,14.933
109,14.9316
110,14.9308
111,14.9304
112,14.9305
113,14.9312
114,14.9314
115,14.9314
116,14.932
117,14.9332
118,14.9353
119,14.9381
120,14.9417
121,14.9462
122,14.9517
123,14.958
124,14.9645
125,14.9711
126,14.9786
127,14.9873
128,14.9969
129,15.0076
130,15.0193
131,15.0321
132,15.0459
133,15.0608
134,15.0766
135,15.0935
136,15.1113
137,14.9001
138,14.6136
139,14.3931
140,14.1331
141,13.7201
142,13.3616
143,13.0524
144,12.7884
145,12.5658
146,12.3808
147,12.2303
148,12.1117
149,12.0223
150,11.9595
151,11.9213
152,11.9056
153,11.9108
154,11.9353
155,11.9776
156,12.0365
157,12.1111
158,12.2001
159,12.3026
160,12.4182
161,12.5462
162,12.6856
163,12.8356
164,12.9958
165,13.1653
166,13.3431
167,13.5279
168,13.5151
169,13.2784
170,13.0702
171,12.8882
172,12.7303
173,12.5944
174,12.4787
175,12.3814
176,12.301
177,12.236
178,12.1852
179,12.1479
180,12.1231
181,12.1102
182,12.1086
183,12.1177
184,12.1374
185,12.1674
186,12.2074
187,12.2577
188,12.3181
189,12.3887
190,12.4694
191,12.5607
192,12.6632
193,12.7775
194,12.8857
195,12.7816
196,12.7035
197,12.649
198,12.6161
199,12.6031
200,12.6082
201,12.6301
202,12.6675
203,12.7194
204,12.7846
205,12.8623
206,12.9522
207,13.0544
208,13.1687
209,13.2948
210,13.3737
211,13.4444
212,13.526
213,13.6182
214,13.7204
215,13.8329
216,13.9562
217,14.0903
218,14.208
219,14.1071
220,14.0186
221,13.9436
222,13.8827
223,13.8363
224,13.8038
225,13.7852
226,13.7806
227,13.7896
228,13.8128
229,13.7688
230,13.6444
231,13.4546
232,13.2859
233,13.139
234,13.0145
235,12.9129
236,12.8346
237,12.7804
238,12.7515
239,12.7495
240,12.7757
241,12.8319
242,12.9203
243,13.044
244,13.2058
245,13.409
246,13.6572
247,13.9538
248,14.3008
249,14.6989
250,14.861
251,14.8069
252,14.7587
253,14.7161
254,14.4929
255,14.1545
256,13.8613
257,13.6082
258,13.3908
259,13.2057
260,13.0502
261,12.9222
262,12.8203
263,12.7433
264,12.6908
265,12.6625
266,12.6592
267,12.6821
268,12.7331
269,12.8146
270,12.9297
271,13.0825
272,13.2777
273,13.5213
274,13.8194
275,13.7049
276,13.5914
277,13.4925
278,13.4078
279,13.3362
280,13.2775
281,13.2317
282,13.1986
283,13.1775
284,13.1681
285,13.1698
286,13.1821
287,13.2044
288,13.236
289,13.276
290,13.3236
291,13.3777
292,13.437
293,13.5
294,13.5648
295,13.6303
296,13.6952
297,13.758
298,13.8146
299,13.8116
300,13.8122
301,13.8166
302,13.8251
303,13.8378
304,13.855
305,13.8768
306,13.9035
307,13.9355
308,13.9729
309,14.016
310,14.0649
311,14.1198
312,14.1814
313,14.25
314,14.3189
315,14.3053
316,14.3032
317,14.3126
318,14.3332
319,14.3647
320,14.4069
321,14.4125
322,14.3689
323,14.3166
324,14.2591
325,14.2095
326,14.1673
327,14.1321
328,14.1032
329,14.0806
330,14.0637
331,14.0522
332,14.0455
333,14.0432
334,14.0449
335,14.0502
336,14.0587
337,14.0699
338,14.0835
339,14.0989
340,14.1159
341,14.1222
342,13.9592
343,13.8209
344,13.7074
345,13.6189
346,13.5558
347,13.5183
348,13.5069
349,13.5223
350,13.5646
351,13.6346
352,13.7327
353,13.831
354,13.762
355,13.6975
356,13.6374
357,13.5813
358,13.529
359,13.4803
360,13.435
361,13.3929
362,13.3538
363,13.3176
364,13.284
365,13.253
366,13.2245
367,13.1983
368,13.1744
369,13.1528
370,13.1334
371,13.1162
372,13.1012
373,13.0885
374,13.0781
375,13.07
376,13.0644
377,13.0613
378,13.0608
379,13.063
380,13.0681
381,13.0761
382,13.0871
383,13.1014
384,13.1188
385,13.1396
386,13.1637
387,13.1912
388,13.2222
389,13.1794
390,13.1225
391,13.07
392,13.0223
393,12.9798
394,12.9427
395,12.9109
396,12.8839
397,12.8617
398,12.8444
399,12.8316
400,12.823
401,12.8186
402,12.818
403,12.821
404,12.8273
405,12.8367
406,12.8488
407,12.8634
408,12.8803
409,12.8993
410,12.9201
411,12.9426
412,12.9666
413,12.9919
414,13.0184
415,13.0458
416,13.0742
417,13.1032
418,13.1328
419,13.1628
420,13.193
421,13.2234
422,13.2538
423,13.2841
424,13.314
425,13.3433
426,13.3716
427,13.3988
428,13.4247
429,13.4448
430,13.44
431,13.4368
432,13.4356
433,13.4365
434,13.4396
435,13.445
436,13.4528
437,13.4631
438,13.476
439,13.3624
440,13.2444
441,13.136
442,13.0368
443,12.9464
444,12.8643
445,12.7903
446,12.7241
447,12.6652
448,12.6132
449,12.5679
450,12.5287
451,12.4954
452,12.4673
453,12.4441
454,12.4259
455,12.4125
456,12.4035
457,12.3988
458,12.3982
459,12.4015
460,12.4085
461,12.4192
462,12.4335
463,12.4508
464,12.4712
465,12.4948
466,12.5216
467,12.5515
468,12.5845
469,12.6204
470,12.6592
471,12.7007
472,12.745
473,12.7918
474,12.841
475,12.8926
476,12.9462
477,13.0019
478,13.0593
479,13.1183
480,13.1785
481,13.2399
482,13.3021
