Iteration, Estimated
0,1000000000000000000
1,261460
2,87154.1
3,52292.9
4,37352.5
5,29052.2
6,23770.3
7,20113.6
8,17432
9,15381.4
10,13762.5
11,12451.9
12,11369.4
13,10460
14,9685.34
15,9017.55
16,8435.93
17,7924.82
18,7472.13
19,7068.38
20,6706.05
21,6379.07
22,6082.51
23,5812.32
24,5565.13
25,5338.12
26,5128.91
27,4935.51
28,4756.17
29,4589.42
30,4433.98
31,4288.73
32,4152.71
33,4025.06
34,3905.04
35,3791.96
36,3685.24
37,3584.37
38,3488.89
39,3398.36
40,3312.42
41,3230.73
42,3152.98
43,3078.88
44,3008.2
45,2940.69
46,2876.15
47,2814.39
48,2755.23
49,2698.52
50,2644.09
51,2591.82
52,2541.59
53,2493.27
54,2446.75
55,2401.95
56,2358.76
57,2317.1
58,2276.89
59,2238.06
60,2200.53
61,2164.24
62,2129.14
63,2095.16
64,2062.25
65,2030.37
66,1999.46
67,1969.48
68,1940.38
69,1912.14
70,1884.72
71,1858.07
72,1832.17
73,1806.98
74,1782.48
75,1758.64
76,1735.42
77,1712.79
78,1690.75
79,1669.27
80,1648.33
81,1627.91
82,1608
83,1588.57
84,1569.6
85,1551.08
86,1533
87,1515.33
88,1498.07
89,1481.2
90,1464.71
91,1448.58
92,1432.81
93,1417.38
94,1402.27
95,1387.49
96,1373.02
97,1358.85
98,1344.97
99,1331.37
100,1318.05
101,1304.99
102,1292.19
103,1279.64
104,1267.33
105,1255.26
106,1243.41
107,1231.79
108,1220.39
109,1209.2
110,1198.21
111,1187.42
112,1176.83
113,1166.43
114,1156.2
115,1146.16
116,1136.29
117,1126.59
118,1117.06
119,1107.69
120,1098.48
121,1089.41
122,1080.5
123,1071.74
124,1063.11
125,1054.63
126,1046.28
127,1038.07
128,1029.98
129,1022.02
130,1014.18
131,1006.46
132,998.864
133,991.38
134,984.009
135,976.747
136,969.593
137,962.544
138,955.598
139,948.753
140,942.006
141,935.356
142,928.8
143,922.336
144,915.963
145,909.678
146,903.48
147,897.367
148,891.338
149,885.389
150,879.521
151,873.731
152,868.018
153,862.38
154,856.816
155,851.324
156,845.903
157,840.552
158,835.269
159,830.053
160,824.903
161,819.817
162,814.795
163,809.835
164,804.935
165,800.096
166,795.315
167,790.592
168,785.926
169,781.316
170,776.76
171,772.258
172,767.809
173,763.411
174,759.065
175,754.769
176,750.522
177,746.323
178,742.173
179,738.068
180,734.01
181,729.998
182,726.029
183,722.105
184,718.223
185,714.384
186,710.587
187,706.83
188,703.114
189,699.438
190,695.801
191,692.202
192,688.641
193,685.117
194,681.63
195,678.18
196,674.764
197,671.384
198,668.038
199,664.727
200,661.449
201,658.203
202,654.991
203,651.81
204,648.661
205,645.542
206,642.455
207,639.397
208,636.37
209,633.371
210,630.402
211,627.461
212,624.548
213,621.663
214,618.805
215,615.974
216,613.169
217,610.391
218,607.639
219,604.912
220,602.21
221,599.532
222,596.88
223,594.251
224,591.646
225,589.065
226,586.506
227,583.971
228,581.458
229,578.967
230,576.499
231,574.052
