Iteration, Estimate
0,180.781
1,128.125
2,128.127
3,128.128
4,128.129
5,128.13
6,128.131
7,128.132
8,128.133
9,128.134
10,128.136
11,128.137
12,128.138
13,128.139
14,128.14
15,128.141
16,128.143
17,128.144
18,128.145
19,128.146
20,128.147
21,128.149
22,128.15
23,128.151
24,128.152
25,128.154
26,128.155
27,128.156
28,128.158
29,128.159
30,128.16
31,128.162
32,128.163
33,128.164
34,128.166
35,128.167
36,128.168
37,128.17
38,128.171
39,128.173
40,128.174
41,128.175
42,128.177
43,128.178
44,128.18
45,128.181
46,128.183
47,128.184
48,128.186
49,128.187
50,128.189
51,128.19
52,128.192
53,128.193
54,128.195
55,128.196
56,128.198
57,128.2
58,128.201
59,128.203
60,128.204
61,128.206
62,128.208
63,128.209
64,128.211
65,128.213
66,128.214
67,128.216
68,128.218
69,128.219
70,128.221
71,128.223
72,128.225
73,128.226
74,128.228
75,128.23
76,128.232
77,128.233
78,128.235
79,128.237
80,128.239
81,128.241
82,128.242
83,128.244
84,128.246
85,128.248
86,128.25
87,128.252
88,128.254
89,128.255
90,128.257
91,128.259
92,128.261
93,128.263
94,128.265
95,128.267
96,128.269
97,128.271
98,128.273
99,128.275
100,128.277
101,104.939
102,104.94
103,104.942
104,104.943
105,104.944
106,104.946
107,104.947
108,104.949
109,104.95
110,104.951
111,104.953
112,104.954
113,104.956
114,104.957
115,104.959
116,104.96
117,104.962
118,104.963
119,104.965
120,104.966
121,104.968
122,104.969
123,104.971
124,104.972
125,104.974
126,104.975
127,104.977
128,104.978
129,104.98
130,104.982
131,104.983
132,104.985
133,104.987
134,104.988
135,104.99
136,104.991
137,104.993
138,104.995
139,104.996
140,104.998
141,105
142,105.002
143,105.003
144,105.005
145,105.007
146,105.008
147,105.01
148,105.012
149,105.014
150,105.015
151,105.017
152,105.019
153,105.021
154,105.023
155,105.024
156,105.026
157,105.028
158,105.03
159,105.032
160,105.034
161,105.036
162,105.037
163,105.039
164,105.041
165,105.043
166,105.045
167,105.047
168,105.049
169,105.051
170,105.053
171,105.055
172,105.057
173,105.059
174,105.061
175,105.063
176,105.065
177,105.067
178,105.069
179,105.071
