Iteration, Estimate
1,4.45062
2,4.45059
3,4.45056
4,4.45054
5,4.45051
6,4.45049
7,4.45048
8,4.45046
9,4.45045
10,4.45043
11,4.45043
12,4.45042
13,4.45041
14,4.45041
15,4.45041
16,4.45041
17,4.45042
18,4.45042
19,4.45043
20,4.45045
21,4.45046
22,4.45048
23,4.4505
24,4.45052
25,4.45054
26,4.45057
27,4.4506
28,4.45063
29,4.45067
30,4.45071
31,4.45075
32,4.45079
33,4.45084
34,4.45089
35,4.45094
36,4.451
37,4.45106
38,4.45112
39,4.45118
40,4.45125
41,4.45133
42,4.4514
43,4.45148
44,4.45156
45,4.45165
46,4.45174
47,4.45183
48,4.45193
49,4.45203
50,4.45214
51,4.45225
52,4.45236
53,4.45248
54,4.4526
55,4.45273
56,4.45286
57,4.45299
58,4.45313
59,4.45328
60,4.45343
61,4.45358
62,4.45374
63,4.4539
64,4.45407
65,4.45425
66,4.45443
67,4.45462
68,4.45481
69,4.455
70,4.45521
71,4.45541
72,4.45563
73,4.45585
74,4.45608
75,4.45631
76,4.45655
77,4.4568
78,4.45705
79,4.45731
80,4.45758
81,4.45786
82,4.45814
83,4.45843
84,4.45873
85,4.45904
86,4.45935
87,4.45967
88,4.46
89,4.46034
90,4.46069
91,4.46105
92,4.46141
93,4.46179
94,4.46218
95,4.46257
96,4.46298
97,4.46339
98,4.46382
99,4.46425
100,4.4647
101,4.45496
102,4.45542
103,4.4559
104,4.45639
105,4.45689
106,4.45741
107,4.45793
108,4.45847
109,4.45903
110,4.45959
111,4.46017
112,4.46077
113,4.46138
114,4.462
115,4.46264
116,4.46329
117,4.46396
118,4.46464
119,4.46534
120,4.46606
121,4.4668
122,4.46755
123,4.46832
124,4.4691
125,4.46991
126,4.47074
127,4.47158
128,4.47244
129,4.47333
130,4.47423
131,4.47516
132,4.47611
133,4.47708
134,4.47807
135,4.47909
136,4.48013
137,4.48119
138,4.48228
139,4.48339
140,4.48453
141,4.4857
142,4.48689
143,4.48811
144,4.48936
145,4.49064
146,4.49194
147,4.49328
148,4.49465
149,4.49605
150,4.49748
151,4.49894
152,4.50044
153,4.50198
154,4.50354
155,4.50515
156,4.50679
157,4.50847
158,4.51019
159,4.51194
