Iteration, Estimate
0,24.1758
1,24.1397
2,24.1389
3,24.1376
4,24.1357
5,24.1334
6,24.1305
7,24.1271
8,24.1232
9,24.1188
10,24.1137
11,24.1385
12,24.1323
13,24.1256
14,24.1184
15,24.1106
16,24.1023
17,24.0935
18,24.0844
19,24.0749
20,24.065
21,24.1386
22,24.128
23,24.1172
24,24.1062
25,24.095
26,24.0839
27,24.0728
28,24.0619
29,24.0512
30,24.0411
31,24.1679
32,24.1589
33,24.1509
34,24.1443
35,24.1393
36,24.1364
37,24.1358
38,24.1382
39,24.1439
40,24.1536
41,24.3441
42,24.3642
43,24.3906
44,24.4243
45,24.4662
46,24.5175
47,24.5794
48,24.653
49,24.7397
50,24.8405
51,25.1331
52,25.2673
53,25.4074
54,25.4384
55,25.4754
56,25.5191
57,25.5699
58,25.6282
59,25.6945
60,25.7694
61,25.9399
62,26.0338
63,26.1374
64,26.2508
65,26.374
66,26.3648
67,26.3471
68,26.3325
69,26.3218
70,26.3155
71,26.2795
72,26.2863
73,26.3018
74,26.3282
75,26.2559
76,26.0788
77,25.913
78,25.76
79,25.6205
80,25.4944
81,25.3077
82,25.2076
83,25.1188
84,25.0404
85,24.9714
86,24.9106
87,24.8572
88,24.8102
89,24.7687
90,24.7319
91,24.666
92,24.6367
93,24.6103
94,24.5862
95,24.564
96,24.5432
97,24.5237
98,24.5051
99,24.487
100,24.4693
101,24.5072
102,24.4898
103,24.4725
104,24.4551
105,24.4376
106,24.4199
107,24.4019
108,24.3835
109,24.3647
110,24.3456
111,24.4629
112,24.4427
113,24.4223
114,24.4017
115,24.3809
116,24.36
117,24.3391
118,24.3182
119,24.2975
120,24.2769
121,24.4392
122,24.4189
123,24.399
124,24.3798
125,24.3614
126,24.3441
127,24.3281
128,24.3136
129,24.3008
130,24.2899
131,24.4686
132,24.4623
133,24.4589
134,24.4588
135,24.4624
136,24.4702
137,24.4826
138,24.5001
139,24.5234
140,24.5529
141,24.7758
142,24.8205
143,24.8735
144,24.9356
145,25.0075
146,25.0902
147,25.1844
148,25.0421
149,24.7618
150,24.5164
151,24.4899
152,24.3
153,24.1347
154,23.9911
155,23.8664
156,23.7584
157,23.6649
158,23.584
159,23.5139
160,23.4533
161,23.5613
162,23.5152
163,23.4751
164,23.4403
165,23.4099
166,23.3834
167,23.3599
168,23.3389
169,23.3201
170,23.3032
171,23.4358
172,23.4216
173,23.4083
174,23.396
175,23.3843
176,23.3732
177,23.3626
178,23.3523
179,23.3423
180,23.3327
181,23.4685
182,23.4595
183,23.4509
184,23.4428
185,23.4355
186,23.4293
187,23.4243
188,23.4209
189,23.4196
190,23.4207
191,23.5535
192,23.5613
193,23.5734
194,23.5906
195,23.6139
196,23.6443
197,23.6829
198,23.731
199,23.7899
200,23.8614
201,24.0489
202,24.1519
203,24.2736
204,24.4162
205,24.5824
206,24.7752
207,24.9976
208,25.2055
209,25.2192
210,25.2327
211,25.3193
212,25.3119
213,25.3048
214,25.2979
215,25.2911
216,25.2843
217,25.2775
218,25.2706
219,25.2636
220,25.2566
221,25.3345
222,25.3274
223,25.3205
224,25.3137
225,25.3074
226,25.3017
227,25.2967
228,25.2929
229,25.2904
230,25.2897
231,25.3807
232,25.3849
233,25.3923
234,25.4036
235,25.4195
236,25.4407
237,25.4681
238,25.5028
239,25.546
