Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed,Mean Rebuild Frequency
2025-05-01 11:29:56,2,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,73235672,73412830,73091908,73093106,73093106,120
2025-05-01 11:29:56,5,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,16964372,16418032,16381075,16385935,16385935,120
2025-05-01 11:29:57,8,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,64020320,63530808,63531648,63534887,63534887,120
2025-05-01 11:29:57,11,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,37697407,37346699,37534045,37349621,37349621,120
2025-05-01 11:29:57,14,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,23934453,17455806,17453119,17507130,17507130,120
2025-05-01 11:29:57,17,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,10099074,9807536,9775913,9778606,9778606,120
2025-05-01 11:29:57,20,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,63054194,62753221,62630147,62633680,62633680,120
2025-05-01 11:29:57,23,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,36575102,37708222,36326218,36328292,36328292,120
2025-05-01 11:29:57,26,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,18096597,16430612,16333743,16348433,16348433,120
2025-05-01 11:29:57,29,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,10548264,10249096,9820742,9826804,9826804,120
2025-05-01 11:29:57,32,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,63499875,63122298,62978991,62983331,62983331,120
2025-05-01 11:29:58,35,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,37420537,37194515,37108249,37110851,37110851,120
2025-05-01 11:29:58,38,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,17715324,17417509,17362843,17365780,17365780,120
2025-05-01 11:29:58,41,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,9757133,9484919,9508175,9487187,9487187,120
2025-05-01 11:29:58,44,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,120409441,82212155,81852300,82173609,82173609,120
2025-05-01 11:29:58,47,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,61682003,29183045,29384266,29453869,29453869,120
2025-05-01 11:29:58,50,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,108236914,75563856,76221695,75836131,75836131,120
2025-05-01 11:29:58,53,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,54807839,37963988,38035529,38104353,38104353,120
2025-05-01 11:29:59,56,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,60902866,29483707,29147074,29411705,29411705,120
2025-05-01 11:29:59,59,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,32259992,15788021,15927174,15925287,15925287,120
2025-05-01 11:29:59,62,pairwise,VerletClusterLists,1.000000,vcl_cluster_iteration,none,AoS,disabled,115907332,83456803,83522980,83727224,83727224,120
2025-05-01 11:29:59,65,pairwise,VerletClusterLists,1.000000,vcl_cluster_iteration,none,SoA,disabled,61012035,29537177,29574114,29799467,29799467,120
2025-05-01 11:29:59,68,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,121376232,48271786,47774739,48388084,48388084,120
2025-05-01 11:29:59,71,pairwise,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,141118352,34858973,34815007,35700868,35700868,120
2025-05-01 11:30:00,74,pairwise,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,101348748,43896635,43489617,43971776,43971776,120
2025-05-01 11:30:00,77,pairwise,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,116668463,34822570,34853121,35504619,35504619,120
2025-05-01 11:30:00,80,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,99225316,43608836,43850450,44072306,44072306,120
2025-05-01 11:30:00,83,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,50458433,21607396,21563520,21804310,21804310,120
2025-05-01 11:30:00,86,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,disabled,117552875,34914274,34902572,35591324,35591324,120
2025-05-01 11:30:00,89,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,66077372,22497810,22494159,22857352,22857352,120
2025-05-01 11:30:01,92,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,disabled,98886639,43027833,42792238,43259691,43259691,120
2025-05-01 11:30:01,95,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,50422568,21655246,21522450,21763284,21763284,120
2025-05-01 11:30:01,98,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,disabled,117837595,34854550,34858681,35546075,35546075,120
2025-05-01 11:30:01,101,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,enabled,66741610,22480267,22433648,22802881,22802881,120
