Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed,Mean Rebuild Frequency
2025-04-30 16:37:20,2,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,73048570,73121162,73529548,73120436,73120436,100
2025-04-30 16:37:21,5,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,16915233,16174749,16052087,16060718,16060718,100
2025-04-30 16:37:21,8,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,62607825,63311705,63882876,63304666,63304666,100
2025-04-30 16:37:21,11,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,36937879,36754204,36715504,36717727,36717727,100
2025-04-30 16:37:21,14,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,17067203,16730244,16678854,16682737,16682737,100
2025-04-30 16:37:21,17,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,9224497,9022586,9049524,9024605,9024605,100
2025-04-30 16:37:21,20,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,62335840,62302200,62090491,62092944,62092944,100
2025-04-30 16:37:21,23,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,36091248,35920166,36933927,35921876,35921876,100
2025-04-30 16:37:21,26,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,16565851,15732716,15670288,15679243,15679243,100
2025-04-30 16:37:21,29,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,9787693,9701841,9684666,9685696,9685696,100
2025-04-30 16:37:22,32,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,63222513,63355454,63267591,63267140,63267140,100
2025-04-30 16:37:22,35,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,36931624,36784102,36837953,36785577,36785577,100
2025-04-30 16:37:22,38,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,17229264,16891835,16803175,16807435,16807435,100
2025-04-30 16:37:22,41,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,9074776,8905241,8896007,8897794,8897794,100
2025-04-30 16:37:22,44,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,119082751,82145914,82449520,82515282,82515282,100
2025-04-30 16:37:22,47,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,62411383,29419881,29048317,29381947,29381947,100
2025-04-30 16:37:22,50,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,109357187,76055082,77866101,76388103,76388103,100
2025-04-30 16:37:23,53,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,55011697,38090158,38342278,38259373,38259373,100
2025-04-30 16:37:23,56,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,61581784,29229937,29267517,29553455,29553455,100
2025-04-30 16:37:23,59,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,32399074,15895447,15716735,15883558,15883558,100
2025-04-30 16:37:23,62,pairwise,VerletClusterLists,1.000000,vcl_cluster_iteration,none,AoS,disabled,116593251,83739931,83502983,83833885,83833885,100
2025-04-30 16:37:23,65,pairwise,VerletClusterLists,1.000000,vcl_cluster_iteration,none,SoA,disabled,61620707,29452698,29488183,29774378,29774378,100
2025-04-30 16:37:23,68,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,120147011,48137273,47959937,48681807,48681807,100
2025-04-30 16:37:24,71,pairwise,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,138416540,34955022,34826508,35862408,35862408,100
2025-04-30 16:37:24,74,pairwise,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,101147642,44425235,43995901,44567418,44567418,100
2025-04-30 16:37:24,77,pairwise,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,117361397,34897813,34845559,35670717,35670717,100
2025-04-30 16:37:24,80,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,102626618,44013759,43388563,43980943,43980943,100
2025-04-30 16:37:24,83,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,52406030,22093031,21588370,21896546,21896546,100
2025-04-30 16:37:24,86,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,disabled,124362503,35017688,34938015,35832259,35832259,100
2025-04-30 16:37:25,89,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,69121749,22524580,22470856,22937364,22937364,100
2025-04-30 16:37:25,92,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,disabled,104257934,43197719,43574026,43808321,43808321,100
2025-04-30 16:37:25,95,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,53098994,21525832,21412167,21729035,21729035,100
2025-04-30 16:37:25,98,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,disabled,125049483,34957578,34906838,35808264,35808264,100
2025-04-30 16:37:25,101,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,enabled,69288463,22499201,22511911,22967093,22967093,100
